team,opponent,commence_time,spread,over_under,implied_total
TB,DAL,2021-09-09,-10.0,52.5,31.25
DAL,TB,2021-09-09,10.0,52.5,21.25
ATL,PHI,2021-09-12,-3.5,49.0,26.25
PHI,ATL,2021-09-12,3.5,49.0,22.75
BUF,PIT,2021-09-12,-6.5,48.0,27.25
PIT,BUF,2021-09-12,6.5,48.0,20.75
CAR,NYJ,2021-09-12,-3.5,44.5,24.0
NYJ,CAR,2021-09-12,3.5,44.5,20.5
CIN,MIN,2021-09-12,3.0,47.0,22.0
MIN,CIN,2021-09-12,-3.0,47.0,25.0
DET,SF,2021-09-12,9.5,46.0,18.25
SF,DET,2021-09-12,-9.5,46.0,27.75
HOU,JAX,2021-09-12,3.5,45.5,21.0
JAX,HOU,2021-09-12,-3.5,45.5,24.5
IND,SEA,2021-09-12,3.0,49.0,23.0
SEA,IND,2021-09-12,-3.0,49.0,26.0
TEN,ARI,2021-09-12,-2.5,54.0,28.25
ARI,TEN,2021-09-12,2.5,54.0,25.75
WAS,LAC,2021-09-12,-2.5,45.5,24.0
LAC,WAS,2021-09-12,2.5,45.5,21.5
KC,CLE,2021-09-12,-5.5,54.5,30.0
CLE,KC,2021-09-12,5.5,54.5,24.5
NE,MIA,2021-09-12,-3.5,43.5,23.5
MIA,NE,2021-09-12,3.5,43.5,20.0
NO,GB,2021-09-12,4.0,49.0,22.5
GB,NO,2021-09-12,-4.0,49.0,26.5
NYG,DEN,2021-09-12,3.0,41.5,19.25
DEN,NYG,2021-09-12,-3.0,41.5,22.25
LA,CHI,2021-09-12,-9.5,46.0,27.75
CHI,LA,2021-09-12,9.5,46.0,18.25
LV,BAL,2021-09-13,3.0,50.5,23.75
BAL,LV,2021-09-13,-3.0,50.5,26.75
