player_id,player_name,position,salary,final_projection,chalk_score,estimated_ownership_pct
00-0034383,Dalton Schultz,TE,5000,15.599333887165956,96.01927437641723,27.932876340376087
00-0033045,Ezekiel Elliott,RB,7000,26.10164472550309,95.71850809289234,35.120469519134154
00-0036358,CeeDee Lamb,WR,7000,20.634964197585475,95.43447905477981,29.560650548807306
00-0019596,Tom Brady,QB,7600,44.090452501485885,93.9326530612245,23.498838181102
00-0033921,Chris Godwin,WR,7100,23.98997346387712,93.55370569280345,26.077143763230442
00-0031544,Amari Cooper,WR,6200,17.792843410518834,91.750268528464,23.123052612254604
00-0030279,Keenan Allen,WR,7000,21.187152841497703,90.88936627282493,21.83330562266288
00-0033077,Dak Prescott,QB,6900,29.555573648701348,90.10816326530612,18.210256775408798
00-0031408,Mike Evans,WR,6900,16.870864024455575,88.34317937701397,18.424674868903363
00-0033699,Austin Ekeler,RB,7600,23.54472967851632,88.23328641801548,21.322638727560633
00-0034857,Josh Allen,QB,7900,34.11713951541042,88.20408163265304,16.03936830082323
00-0033856,Leonard Fournette,RB,6100,20.55247042414447,86.33954961294863,18.793672405573567
00-0036223,Jonathan Taylor,RB,8100,21.305961414542,84.53237156931738,16.660517568094242
00-0036355,Justin Herbert,QB,7300,26.14930740240904,84.03673469387755,12.148711194936704
00-0036252,Michael Pittman Jr.,WR,6300,17.613058186023757,83.44253490870031,13.289591840879243
00-0034270,Tyler Conklin,TE,3400,13.26467852811312,83.02040816326532,11.74248284140839
00-0036970,Kyle Pitts,TE,5800,14.2399303543784,82.71995464852607,11.509618111784784
DST_BUF,Buffalo,DST,4000,10.6651463445,82.47680890538035,21.091822039331852
00-0033536,Mike Williams,WR,6600,14.13976003218093,82.46831364124597,12.453890648868946
00-0033293,Aaron Jones,RB,6900,20.657148360729742,82.24137931034483,14.300705697211475
00-0031381,Davante Adams,WR,7900,16.02531800839177,81.94736842105263,12.028795432369632
00-0029000,Cole Beasley,WR,5200,16.09977585713989,81.1514500537057,11.40717074270902
00-0031588,Stefon Diggs,WR,7500,15.331283951751503,81.09881847475833,11.367215719731947
00-0033893,Dalvin Cook,RB,8000,16.168301842092493,79.46868402533427,11.887204067913794
