team,opponent,commence_time,spread,over_under,implied_total
MIA,BAL,2021-11-11,8.5,46.5,19.0
BAL,MIA,2021-11-11,-8.5,46.5,27.5
DAL,ATL,2021-11-14,-8.0,55.0,31.5
ATL,DAL,2021-11-14,8.0,55.0,23.5
IND,JAX,2021-11-14,-10.5,47.5,29.0
JAX,IND,2021-11-14,10.5,47.5,18.5
NE,CLE,2021-11-14,-2.5,45.5,24.0
CLE,NE,2021-11-14,2.5,45.5,21.5
NYJ,BUF,2021-11-14,13.0,47.0,17.0
BUF,NYJ,2021-11-14,-13.0,47.0,30.0
PIT,DET,2021-11-14,-9.0,43.0,26.0
DET,PIT,2021-11-14,9.0,43.0,17.0
TEN,NO,2021-11-14,-3.0,44.0,23.5
NO,TEN,2021-11-14,3.0,44.0,20.5
WAS,TB,2021-11-14,10.0,51.0,20.5
TB,WAS,2021-11-14,-10.0,51.0,30.5
ARI,CAR,2021-11-14,-7.0,42.0,24.5
CAR,ARI,2021-11-14,7.0,42.0,17.5
LAC,MIN,2021-11-14,-3.0,53.5,28.25
MIN,LAC,2021-11-14,3.0,53.5,25.25
DEN,PHI,2021-11-14,-1.0,44.5,22.75
PHI,DEN,2021-11-14,1.0,44.5,21.75
GB,SEA,2021-11-14,-3.0,49.5,26.25
SEA,GB,2021-11-14,3.0,49.5,23.25
LV,KC,2021-11-14,2.5,53.5,25.5
KC,LV,2021-11-14,-2.5,53.5,28.0
SF,LA,2021-11-15,3.5,50.0,23.25
LA,SF,2021-11-15,-3.5,50.0,26.75
