player_id,player_name,position,season_avg,recent_form,games_played
00-0034796,L.Jackson,QB,23.531111111111112,22.436999999999998,9
00-0019596,T.Brady,QB,23.418,19.409200000000002,10
00-0034857,J.Allen,QB,23.244,18.6358,10
00-0032764,D.Henry,RB,23.0375,18.846,8
00-0036223,J.Taylor,RB,22.581818181818182,33.849,11
00-0036355,J.Herbert,QB,22.578,23.8644,10
00-0036389,J.Hurts,QB,22.549090909090907,21.9936,11
00-0035228,K.Murray,QB,22.2175,17.131800000000002,8
00-0033908,C.Kupp,WR,21.61,20.416999999999998,10
00-0033873,P.Mahomes,QB,20.89090909090909,16.072200000000002,11
00-0026498,M.Stafford,QB,20.636000000000003,16.820400000000003,10
00-0029604,K.Cousins,QB,20.19,21.375799999999998,10
00-0023459,A.Rodgers,QB,19.854000000000003,22.3322,10
00-0033699,A.Ekeler,RB,19.830000000000002,21.933,10
00-0033077,D.Prescott,QB,19.70888888888889,16.1554,9
00-0027939,C.Newton,QB,18.94,20.143333333333334,2
00-0035719,D.Samuel,WR,18.46,18.087,10
00-0033906,A.Kamara,RB,17.75,20.159000000000002,8
00-0032156,T.Siemian,QB,17.650000000000002,19.45130434782609,4
00-0033280,C.McCaffrey,RB,17.583333333333332,17.661,6
00-0036442,J.Burrow,QB,17.330000000000002,14.077999999999998,10
00-0033040,T.Hill,WR,17.327272727272728,15.829,11
00-0034791,N.Chubb,RB,17.3,19.994999999999997,8
00-0033897,J.Mixon,RB,17.23,22.832,10
00-0031800,T.Heinicke,QB,16.95,17.562800000000003,10
00-0031280,D.Carr,QB,16.884,13.643600000000001,10
00-0036893,N.Harris,RB,16.87,16.001,10
00-0031503,J.Winston,QB,16.771428571428572,15.602400000000001,7
00-0032950,C.Wentz,QB,16.469090909090912,13.949800000000003,11
00-0031381,D.Adams,WR,16.39,16.578999999999997,10
00-0028118,T.Taylor,QB,16.28,15.532391304347826,4
00-0029701,R.Tannehill,QB,16.221818181818183,14.782,11
00-0027793,A.Brown,WR,16.18,17.825000000000003,5
00-0036322,J.Jefferson,WR,16.134,20.492,10
00-0029263,R.Wilson,QB,16.10857142857143,10.230799999999999,7
00-0036275,D.Swift,RB,15.8,16.399,10
00-0036900,J.Chase,WR,15.77,12.368,10
00-0033923,K.Hunt,RB,15.700000000000001,15.629000000000001,6
00-0036212,T.Tagovailoa,QB,15.662857142857144,17.145599999999998,7
00-0031345,J.Garoppolo,QB,15.608888888888892,16.8798,9
00-0033045,E.Elliott,RB,15.606,12.813,10
00-0030578,C.Patterson,RB,15.455555555555556,11.594000000000001,9
00-0031237,T.Bridgewater,QB,15.446000000000002,14.267399999999999,10
00-0034771,M.Rudolph,QB,15.28,15.28,1
00-0031408,M.Evans,WR,15.24,15.443,10
00-0033893,D.Cook,RB,15.2125,17.555,8
00-0035710,D.Jones,QB,15.193999999999999,10.2978,10
00-0035662,M.Brown,WR,14.933333333333334,12.65,9
00-0034869,S.Darnold,QB,14.66,6.3549999999999995,9
00-0033553,J.Conner,RB,14.52727272727273,20.171,11
00-0026143,M.Ryan,QB,14.478,8.748,10
00-0033921,C.Godwin,WR,14.459999999999999,15.846,10
00-0031588,S.Diggs,WR,14.330000000000002,17.607,10
00-0022924,B.Roethlisberger,QB,14.32888888888889,17.5848,9
00-0035664,D.Henderson,RB,14.244444444444447,11.164000000000001,9
00-0033293,A.Jones,RB,14.24,11.423000000000002,10
00-0035831,J.Robinson,RB,14.18888888888889,12.568,9
00-0035216,D.Johnson,WR,14.055555555555555,13.814,9
00-0030035,A.Thielen,WR,13.960000000000003,14.100000000000001,10
00-0036358,C.Lamb,WR,13.8,12.307000000000002,10
00-0033536,M.Williams,WR,13.75,9.699000000000002,10
00-0030506,T.Kelce,TE,13.636363636363637,13.864,11
00-0030565,G.Smith,QB,13.57,15.30086956521739,4
00-0030564,D.Hopkins,WR,13.512500000000001,12.98,8
00-0035640,D.Metcalf,WR,13.470000000000002,9.366,10
00-0036972,M.Jones,QB,13.418181818181818,12.981,11
00-0035659,T.McLaurin,WR,13.170000000000002,12.793,10
00-0034855,B.Mayfield,QB,13.064000000000002,9.4658,10
00-0033856,L.Fournette,RB,13.040000000000001,12.236,10
00-0030279,K.Allen,WR,13.0,14.828999999999999,10
00-0030431,R.Woods,WR,12.744444444444445,14.956999999999999,9
00-0026300,J.Johnson,QB,12.58,14.563333333333334,2
00-0034753,M.Andrews,TE,12.56,11.14,10
00-0036971,T.Lawrence,QB,12.484,9.269200000000001,10
00-0033106,J.Goff,QB,12.440000000000001,7.491200000000001,9
00-0036567,E.Mitchell,RB,12.257142857142858,12.305000000000003,7
00-0031544,A.Cooper,WR,12.255555555555555,10.140000000000002,9
00-0036252,M.Pittman,WR,12.227272727272727,11.087000000000002,11
00-0035685,D.Montgomery,RB,12.166666666666666,10.822,6
00-0027656,R.Gronkowski,TE,12.1,9.183,5
00-0034827,Dj.Moore,WR,11.963636363636363,8.817,11
00-0026158,J.Flacco,QB,11.91,12.915000000000003,2
00-0035700,J.Jacobs,RB,11.825,9.727,8
00-0032144,M.Gordon,RB,11.68,12.673000000000002,10
00-0036328,A.Gibson,RB,11.540000000000001,10.269,10
00-0033215,C.Grayson,WR,11.5,11.5,1
00-0032780,J.Howard,RB,11.350000000000001,9.808695652173913,4
00-0032211,T.Lockett,WR,11.32,10.213999999999999,10
00-0033594,C.Carson,RB,11.275,10.243478260869566,4
00-0036924,Mi.Carter,RB,11.180000000000001,12.636000000000001,10
00-0035657,D.Harris,RB,11.15,12.000000000000002,10
00-0034837,C.Ridley,WR,11.120000000000001,11.109000000000002,5
00-0034844,S.Barkley,RB,11.016666666666667,11.495000000000001,6
00-0034401,M.White,QB,11.004999999999999,9.623478260869565,4
00-0036613,J.Waddle,WR,10.954545454545455,11.827000000000002,11
00-0031610,D.Waller,TE,10.944444444444445,10.453,9
00-0031236,B.Cooks,WR,10.790000000000001,8.214,10
00-0033288,G.Kittle,TE,10.72857142857143,12.593,7
00-0033871,C.Davis,WR,10.7125,9.048,8
00-0032385,S.Shepard,WR,10.7,8.469000000000001,5
00-0035689,D.Knox,TE,10.5375,9.36,8
00-0036360,C.Edwards-Helaire,RB,10.516666666666667,11.631,6
00-0036670,J.Jefferson,RB,10.5,10.433333333333334,2
00-0034983,H.Renfrow,WR,10.49,9.854,10
00-0036309,D.Mooney,WR,10.41,15.492999999999999,10
00-0036357,H.Ruggs,WR,10.357142857142858,9.145000000000001,7
00-0035676,A.Brown,WR,10.35,9.639000000000001,10
00-0034775,C.Kirk,WR,10.338181818181818,8.065999999999999,11
00-0036912,D.Smith,WR,10.30909090909091,12.933000000000003,11
00-0034777,D.Chark,WR,10.3,10.2,3
00-0035311,M.Gaskin,RB,10.245454545454546,11.871,11
00-0031547,D.Parker,WR,10.24,11.152000000000001,5
00-0036980,E.Moore,WR,10.200000000000001,18.703,9
00-0036326,C.Claypool,WR,10.1,9.279,8
00-0034301,Da.Williams,RB,10.0,11.349999999999998,11
00-0034348,C.Sutton,WR,9.719999999999999,5.882999999999999,10
00-0027685,E.Sanders,WR,9.67,5.588,10
00-0036898,D.Mills,QB,9.582857142857142,11.85,7
00-0033375,T.Patrick,WR,9.48,7.968000000000001,10
00-0033307,K.Bourne,WR,9.40909090909091,10.48,11
00-0036410,T.Higgins,WR,9.387500000000001,7.551000000000001,8
00-0034681,C.Edmonds,RB,9.233333333333334,6.617000000000001,9
00-0031260,L.Thomas,TE,9.233333333333333,9.274999999999999,3
00-0037012,T.Lance,QB,9.172,8.945,5
00-0036875,R.Stevenson,RB,9.171428571428573,12.998,7
00-0036945,J.Fields,QB,9.154,12.006000000000002,10
00-0036970,K.Pitts,TE,9.1,6.9399999999999995,10
00-0035229,T.Hockenson,TE,9.09,7.463,10
00-0035261,T.Pollard,RB,9.040000000000001,7.968,10
00-0033119,J.Brissett,QB,9.015,7.6198,8
00-0031941,J.Crowder,WR,9.0,8.745,7
00-0036265,A.Dillon,RB,8.945454545454545,13.975,11
00-0034383,D.Schultz,TE,8.91,5.944,10
00-0036251,Z.Moss,RB,8.9,4.478000000000001,9
00-0027942,A.Green,WR,8.879999999999999,7.439,10
00-0034829,M.Gesicki,TE,8.763636363636364,6.541,11
00-0029293,M.Jones,WR,8.76,6.645,10
00-0033090,H.Henry,TE,8.754545454545454,8.63,11
00-0030061,Z.Ertz,TE,8.745454545454546,13.074,11
00-0036997,J.Williams,RB,8.7,8.368,10
00-0032972,D.Booker,RB,8.677777777777779,9.644,9
00-0033662,C.Rush,QB,8.639999999999999,7.213333333333334,2
00-0032602,J.McKissic,RB,8.63,8.172,10
00-0036219,M.Callaway,WR,8.57,8.775999999999998,10
00-0035644,N.Fant,TE,8.544444444444444,7.3740000000000006,9
00-0036407,J.Jeudy,WR,8.525,8.384782608695652,4
00-0037013,Z.Wilson,QB,8.486666666666666,6.741000000000001,6
00-0031062,J.White,RB,8.4,7.3812500000000005,3
00-0036277,Q.Cephus,WR,8.38,7.2620000000000005,5
00-0033009,T.Boyd,WR,8.304,7.907,10
00-0029000,C.Beasley,WR,8.290000000000001,6.974,10
00-0036555,C.Hubbard,RB,8.28,8.741999999999999,10
00-0034960,J.Meyers,WR,8.272727272727273,7.013999999999999,11
00-0033118,K.Drake,RB,8.22,8.286999999999999,10
00-0036415,V.Jefferson,WR,8.17,7.623,10
00-0036233,D.Peoples-Jones,WR,8.142857142857142,10.987,7
00-0034765,T.Smith,WR,8.1,8.999,5
00-0030520,M.Glennon,QB,8.04,8.04,1
00-0033308,M.Breida,RB,8.033333333333333,8.406249999999998,3
00-0034351,D.Goedert,TE,8.01,7.218999999999999,10
00-0027966,M.Ingram,RB,7.954545454545454,11.865,11
00-0031285,D.Freeman,RB,7.933333333333334,13.107000000000001,9
00-0033948,J.Williams,RB,7.775,3.518,8
00-0035215,D.Harris,WR,7.7444444444444445,6.96,9
00-0035250,D.Singletary,RB,7.74,7.712,10
00-0030513,L.Murray,RB,7.714285714285714,7.107,7
00-0027973,A.Dalton,QB,7.66,8.811739130434782,4
00-0035243,M.Sanders,RB,7.5875,6.3180000000000005,8
00-0034270,T.Conklin,TE,7.58,8.472000000000001,10
00-0032134,C.Uzomah,TE,7.57,6.257000000000001,10
00-0036550,R.Bateman,WR,7.5,7.362,5
00-0036894,P.Freiermuth,TE,7.470000000000001,10.077,10
00-0034272,M.Valdes-Scantling,WR,7.400000000000001,10.443,6
00-0036457,T.Williams,RB,7.38,5.343,5
00-0035628,D.Johnson,RB,7.362500000000001,9.062000000000001,8
00-0027944,J.Jones,WR,7.3500000000000005,6.613,6
00-0031382,J.Landry,WR,7.3428571428571425,7.336,7
00-0035957,R.Smith,RB,7.300000000000001,7.300000000000001,1
00-0031549,N.Agholor,WR,7.26,8.366,10
00-0036913,K.Toney,WR,7.2575,6.577,8
00-0034418,C.Wilson,WR,7.164444444444445,7.5524,9
00-0033110,T.Higbee,TE,7.140000000000001,7.365,10
00-0036936,R.Moore,WR,7.0,5.931,11
00-0035537,T.Johnson,RB,7.0,7.285,10
00-0033572,J.Agnew,WR,7.0,8.120000000000001,10
00-0034860,D.Pettis,WR,6.78,5.8999999999999995,3
00-0032426,A.Collins,RB,6.7666666666666675,5.382000000000001,9
00-0036261,B.Aiyuk,WR,6.75,11.597,10
00-0034414,B.Scott,RB,6.742857142857142,7.567,7
00-0036919,K.Gainwell,RB,6.68,4.28,10
00-0031558,M.Williams,TE,6.660000000000001,6.668000000000001,5
00-0033611,R.Seals-Jones,TE,6.642857142857144,5.929,7
00-0032063,M.Davis,RB,6.6,3.342,10
00-0036365,B.Edwards,WR,6.590000000000001,6.106999999999999,10
00-0027688,C.McCoy,QB,6.460000000000001,11.283000000000001,6
00-0032464,K.Raymond,WR,6.43,3.5130000000000003,10
00-0027061,J.Cook,TE,6.410000000000001,4.9,10
