roster_slot,player_id,player_name,position,team,salary,projection,opponent
QB,00-0036355,Justin Herbert,QB,LAC,6100,27.31948023551965,PIT
DST,DST_BAL,Ravens,DST,BAL,3400,4.372449178872614,IND
RB1,00-0033280,Christian McCaffrey,RB,SF,8900,17.189371042813175,LA
RB2,00-0040730,RJ Harvey,RB,DEN,3300,13.447883657339016,LV
WR1,00-0038544,Quentin Johnston,WR,LAC,4700,19.10481441321032,PIT
WR2,00-0039915,Ladd McConkey,WR,LAC,7200,18.50100379408468,PIT
WR3,00-0030279,Keenan Allen,WR,LAC,3600,16.55819351987583,PIT
TE,00-0040189,Oronde Gadsden II,TE,LAC,2500,19.16922536203743,PIT
FLEX,00-0037744,Trey McBride,TE,ARI,4400,15.71982160279896,SEA
