team,opponent,commence_time,spread,over_under,implied_total
PHI,NYG,2020-10-22,-5.0,44.5,24.75
NYG,PHI,2020-10-22,5.0,44.5,19.75
ATL,DET,2020-10-25,-1.0,54.0,27.5
DET,ATL,2020-10-25,1.0,54.0,26.5
CIN,CLE,2020-10-25,4.5,50.0,22.75
CLE,CIN,2020-10-25,-4.5,50.0,27.25
HOU,GB,2020-10-25,2.5,55.5,26.5
GB,HOU,2020-10-25,-2.5,55.5,29.0
NO,CAR,2020-10-25,-7.0,49.5,28.25
CAR,NO,2020-10-25,7.0,49.5,21.25
NYJ,BUF,2020-10-25,9.5,47.0,18.75
BUF,NYJ,2020-10-25,-9.5,47.0,28.25
TEN,PIT,2020-10-25,-1.0,51.0,26.0
PIT,TEN,2020-10-25,1.0,51.0,25.0
WAS,DAL,2020-10-25,1.0,44.5,21.75
DAL,WAS,2020-10-25,-1.0,44.5,22.75
LV,TB,2020-10-25,3.5,51.5,24.0
TB,LV,2020-10-25,-3.5,51.5,27.5
DEN,KC,2020-10-25,7.0,46.0,19.5
KC,DEN,2020-10-25,-7.0,46.0,26.5
LAC,JAX,2020-10-25,-8.0,48.0,28.0
JAX,LAC,2020-10-25,8.0,48.0,20.0
NE,SF,2020-10-25,-3.0,44.0,23.5
SF,NE,2020-10-25,3.0,44.0,20.5
ARI,SEA,2020-10-25,3.5,55.5,26.0
SEA,ARI,2020-10-25,-3.5,55.5,29.5
LA,CHI,2020-10-26,-6.5,44.0,25.25
CHI,LA,2020-10-26,6.5,44.0,18.75
