player_id,player_name,position,team,salary,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,injury_status
00-0036223,Jonathan Taylor,RB,IND,9200,23.422222222222224,22.997000000000003,1.0889100858476832,1.0,25.27317962749135,ATL,0.0,0.0,ACTIVE
00-0039040,De'Von Achane,RB,MIA,7400,16.833333333333332,15.988,1.11601988051609,1.0,18.31463025252271,BUF,0.0,0.0,ACTIVE
00-0035710,Daniel Jones,QB,IND,7200,19.684444444444445,19.199,0.835316324666626,1.0,16.239987951856136,ATL,0.0,0.0,ACTIVE
00-0032268,Marcus Mariota,QB,WAS,6000,12.94,11.547391304347826,1.0486756378250015,1.0,12.839665347378675,DET,0.0,0.0,ACTIVE
00-0036252,Michael Pittman Jr.,WR,IND,4400,13.344444444444443,15.287,0.8891561632761705,1.0,12.728912645638523,ATL,0.0,0.0,ACTIVE
00-0034383,Dalton Schultz,TE,HOU,4200,7.1875,8.915,1.400832895798792,1.0,11.278455852300024,JAX,0.0,0.0,ACTIVE
00-0036613,Jaylen Waddle,WR,MIA,7200,11.491111111111111,12.0584,0.9483070522647395,1.0,11.166083732026754,BUF,0.0,0.0,ACTIVE
00-0036554,Nico Collins,WR,HOU,9600,10.671428571428573,10.485,1.04294847464645,1.0,11.032532453769,JAX,0.0,0.0,ACTIVE
00-0035719,Deebo Samuel Sr.,WR,WAS,6200,10.825,7.49,1.1186616125518187,1.0,10.24414371694328,DET,0.0,0.0,ACTIVE
00-0036212,Tua Tagovailoa,QB,MIA,7800,12.562222222222225,11.3702,0.7802228581866893,1.0,9.336311434776432,BUF,0.0,0.0,QUESTIONABLE
00-0038997,Josh Downs,WR,IND,4000,8.35,11.995,0.8891561632761705,1.0,9.044941070926845,ATL,0.0,0.0,ACTIVE
00-0037664,Alec Pierce,WR,IND,4700,8.871428571428572,10.902,0.8891561632761705,1.0,0.0,ATL,0.0,0.0,OUT
00-0040663,Harold Fannin Jr.,TE,CLE,3100,8.35,10.505999999999998,1.0474696428045025,0.8595988538681948,8.489006125238552,NYJ,19.0,39.5,ACTIVE
00-0033885,David Njoku,TE,CLE,5500,7.357142857142857,9.082,1.0474696428045025,0.8595988538681948,7.400932563001555,NYJ,19.0,39.5,ACTIVE
00-0040583,Woody Marks,RB,HOU,3600,8.1375,8.780000000000001,0.8526675894515645,1.0,7.212501972273421,JAX,0.0,0.0,ACTIVE
00-0030061,Zach Ertz,TE,WAS,4000,7.844444444444444,7.046,0.9476559966665046,1.0,7.055509485403608,DET,0.0,0.0,ACTIVE
00-0039880,Malik Washington,WR,MIA,3600,5.522222222222222,6.635999999999999,0.9483070522647395,1.0,5.764863938167603,BUF,0.0,0.0,ACTIVE
00-0034775,Christian Kirk,WR,HOU,5600,5.125,5.315217391304348,1.04294847464645,1.0,5.444304401619104,JAX,0.0,0.0,QUESTIONABLE
00-0034791,Nick Chubb,RB,HOU,3600,7.2375,5.513,0.8526675894515645,1.0,5.435969049651086,JAX,0.0,0.0,ACTIVE
00-0040242,Jacory Croskey-Merritt,RB,WAS,3600,8.255555555555555,5.691000000000001,0.7442284107779363,1.0,5.189711438468655,DET,0.0,0.0,ACTIVE
00-0038979,Cedric Tillman,WR,CLE,4600,7.025,5.319565217391304,0.9445213953694712,0.8595988538681948,5.011334941701952,NYJ,19.0,39.5,ACTIVE
00-0040130,Jayden Higgins,WR,HOU,3600,4.3625,4.501,1.04294847464645,1.0,4.622086902514405,JAX,0.0,0.0,ACTIVE
00-0040138,Jaylin Noel,WR,HOU,3600,3.7,5.131,1.04294847464645,1.0,0.0,JAX,0.0,0.0,OUT
00-0036898,Davis Mills,QB,HOU,6000,3.7,4.113333333333334,1.176545089204165,1.0,4.596369481824271,JAX,0.0,0.0,ACTIVE
00-0038611,Chris Rodriguez Jr.,RB,WAS,3600,5.066666666666666,6.421,0.7442284107779363,1.0,4.274723953440003,DET,0.0,0.0,QUESTIONABLE
00-0040198,Ollie Gordon II,RB,MIA,3600,3.355555555555556,4.193,1.11601988051609,1.0,4.212169034590089,BUF,0.0,0.0,ACTIVE
00-0040164,Jaylin Lane,WR,WAS,3600,3.4222222222222225,3.921,1.1186616125518187,1.0,4.1072904062187305,DET,0.0,0.0,ACTIVE
00-0040128,Tyler Warren,TE,IND,5000,10.822222222222225,9.418,0.3912236015293923,1.0,3.9592263167665087,ATL,0.0,0.0,ACTIVE
00-0039874,Jaylen Wright,RB,MIA,3600,3.3000000000000003,3.3000000000000003,1.11601988051609,1.0,3.682865605703097,BUF,0.0,0.0,ACTIVE
00-0040162,Dylan Sampson,RB,CLE,3600,4.300000000000001,3.188,1.104401397086773,0.8595988538681948,3.55433710374746,NYJ,19.0,39.5,ACTIVE
00-0036407,Jerry Jeudy,WR,CLE,7000,4.5875,2.839,0.9445213953694712,0.8595988538681948,3.014822983973372,NYJ,19.0,39.5,ACTIVE
00-0037267,Jerome Ford,RB,CLE,9600,3.1750000000000003,2.38,1.104401397086773,0.8595988538681948,2.6367978914686345,NYJ,19.0,39.5,ACTIVE
DST_HOU,Texans ,DEF,HOU,4000,2.61,2.61,1.0,1.002169728783902,2.615662992125984,BUF,21.64,44.5,ACTIVE
DST_CLE,Browns ,DEF,CLE,3800,2.74,2.74,1.0,0.9545666666666668,2.615512666666667,JAX,16.5,40.5,ACTIVE
DST_DAL,Cowboys ,DEF,DAL,3400,2.4,2.4,1.0,1.0096782723666813,2.423227853680035,NYG,25.25,47.94,ACTIVE
00-0039379,Jamari Thrash,WR,CLE,4200,2.242857142857143,3.055,0.9445213953694712,0.8595988538681948,2.150690295575737,NYJ,19.0,39.5,ACTIVE
00-0036628,John Bates,TE,WAS,3000,2.025,2.275,0.9476559966665046,1.0,2.0374603928329846,DET,0.0,0.0,QUESTIONABLE
DST_MIA,Dolphins ,DEF,MIA,3500,1.91,1.91,1.0,1.039927371765774,1.9862612800726285,LV,18.36,40.39,ACTIVE
00-0036182,Nick Westbrook-Ikhine,WR,MIA,3700,1.65,2.363,0.9483070522647395,1.0,1.9027781003692,BUF,0.0,0.0,ACTIVE
DST_WAS,Commanders ,DEF,WAS,3600,2.08,2.08,1.0,0.8848821938972576,1.840554963306296,PHI,21.56,47.44,ACTIVE
DST_IND,Colts ,DEF,IND,3700,1.59,1.59,1.0,0.8801229350749136,1.3993954667691126,BAL,22.53,48.56,ACTIVE
00-0039912,Ben Sinnott,TE,WAS,3000,1.3,1.48125,0.9476559966665046,1.0,1.317834120364358,DET,0.0,0.0,ACTIVE
00-0035021,Ashton Dulin,WR,IND,3600,1.25,0.8889999999999999,0.8891561632761705,1.0,0.9509525166238644,ATL,0.0,0.0,ACTIVE
00-0037120,Tyler Goodson,RB,IND,3600,0.65,0.7358695652173913,1.0889100858476832,1.0,0.7545436736172805,ATL,0.0,0.0,ACTIVE
00-0037258,Dameon Pierce,RB,HOU,3600,0.8666666666666667,0.78125,0.8526675894515645,1.0,0.7025625658918621,JAX,0.0,0.0,ACTIVE
00-0040259,Gage Larvadain,WR,CLE,3600,0.875,0.8097826086956522,0.9445213953694712,0.8595988538681948,0.6839455102261183,NYJ,19.0,39.5,ACTIVE
00-0033217,Mo Alie-Cox,TE,IND,3200,1.4,1.0510000000000002,0.3912236015293923,1.0,0.4794445236742702,ATL,0.0,0.0,ACTIVE
00-0038710,Blake Whiteheart,RB,CLE,3600,0.35,0.4782608695652173,1.104401397086773,0.8595988538681948,0.3931514877507728,NYJ,19.0,39.5,ACTIVE
00-0037013,Zach Wilson,QB,MIA,6000,0.79,0.6583333333333334,1.0,1.0,0.0,BYE_OR_UNKNOWN,0.0,0.0,ACTIVE
00-0038041,Jake Ferguson,TE,DAL,6200,11.155555555555557,8.533,1.0,1.0,0.0,BYE_OR_UNKNOWN,0.0,0.0,ACTIVE
00-0039163,C.J. Stroud,QB,HOU,6400,15.1225,14.612799999999998,1.0,1.0,0.0,BYE_OR_UNKNOWN,0.0,0.0,ACTIVE
00-0033699,Austin Ekeler,RB,WAS,6700,5.300000000000001,4.983333333333333,1.0,1.0,0.0,BYE_OR_UNKNOWN,0.0,0.0,ACTIVE
00-0035659,Terry McLaurin,WR,WAS,7800,8.200000000000001,9.395652173913042,1.0,1.0,0.0,BYE_OR_UNKNOWN,0.0,0.0,ACTIVE
00-0039910,Jayden Daniels,QB,WAS,10000,18.593333333333334,17.7228,1.0,1.0,0.0,BYE_OR_UNKNOWN,0.0,0.0,ACTIVE
00-0033077,Dak Prescott,QB,DAL,8000,18.76222222222222,16.6402,1.0,1.0,0.0,BYE_OR_UNKNOWN,0.0,0.0,ACTIVE
00-0033040,Tyreek Hill,WR,MIA,7900,10.75,11.13586956521739,1.0,1.0,0.0,BYE_OR_UNKNOWN,0.0,0.0,ACTIVE
00-0036997,Javonte Williams,RB,DAL,7300,15.933333333333334,13.21,1.0,1.0,0.0,BYE_OR_UNKNOWN,0.0,0.0,ACTIVE
00-0036358,CeeDee Lamb,WR,DAL,7700,14.560000000000002,13.919,1.0,1.0,0.0,BYE_OR_UNKNOWN,0.0,0.0,ACTIVE
00-0026158,Joe Flacco,QB,CLE,6100,15.7075,24.373,1.0,1.0,0.0,BYE_OR_UNKNOWN,0.0,0.0,ACTIVE
00-0037247,George Pickens,WR,DAL,5800,15.211111111111112,12.972,1.0,1.0,0.0,BYE_OR_UNKNOWN,0.0,0.0,ACTIVE
