team,position,matchup_factor
WAS,QB,1.3511210194167773
BAL,QB,1.1726592066577823
ATL,QB,1.1349227881008144
CHI,QB,1.0965574292345635
TB,QB,1.0802892142703469
KC,QB,1.072579079943157
MIN,QB,1.0677834100848753
SF,QB,1.0572486599043882
IND,QB,1.0479717903424672
GB,QB,1.0477359377264863
JAX,QB,1.0438050607934688
NYJ,QB,1.0418789310962902
TEN,QB,1.0303614616825487
PIT,QB,1.0166820099556477
LAC,QB,1.0158958345690443
CLE,QB,1.0087416385509524
SEA,QB,1.00143020745554
LV,QB,1.0014302074555397
DET,QB,0.9977351831385034
CIN,QB,0.9956125095946738
HOU,QB,0.9942760114374479
NO,QB,0.9761153600069071
PHI,QB,0.9727348058445121
MIA,QB,0.9406588500710893
NYG,QB,0.9402657623777874
LA,QB,0.9221051109472467
CAR,QB,0.9064602207538369
ARI,QB,0.9054381927512524
DAL,QB,0.8942183468767253
DEN,QB,0.8449813055214432
NE,QB,0.7307500218479545
BUF,QB,0.689554431589931
NYJ,RB,1.4665615446383213
SEA,RB,1.27253492788641
LV,RB,1.1930014948935093
PIT,RB,1.1644510317678527
HOU,RB,1.1627030442295472
DET,RB,1.1280346247198212
NYG,RB,1.107932768029308
LAC,RB,1.102106142901623
ATL,RB,1.0813050911957875
KC,RB,1.0263600162417177
NE,RB,1.015289428499116
MIN,RB,1.0112107909097365
PHI,RB,1.0077148158331255
CIN,RB,0.9943135780394499
JAX,RB,0.9724637338106311
CHI,RB,0.972172402554247
WAS,RB,0.9704244150159413
SF,RB,0.9619758085807979
BUF,RB,0.9523618771201179
LA,RB,0.9415826206339004
CLE,RB,0.9278900515838406
BAL,RB,0.9214807639433871
TB,RB,0.9080795261497114
DEN,RB,0.9045835510731004
GB,RB,0.9037095573039478
ARI,RB,0.8830250381006659
IND,RB,0.8801117255368234
CAR,RB,0.8678758127686848
DAL,RB,0.8536005812058566
MIA,RB,0.8422386622068707
TEN,RB,0.8043655988769182
NO,RB,0.798538973749233
PHI,TE,1.411246447154096
LAC,TE,1.3685133771655047
IND,TE,1.3600722769208449
NYJ,TE,1.3030948502693895
LV,TE,1.2624720553419635
BAL,TE,1.2413693047303134
SEA,TE,1.2165735727616245
CIN,TE,1.190722703262353
HOU,TE,1.1326901390803157
DAL,TE,1.1219277362683744
TB,TE,1.1208725987377917
DET,TE,1.1078944071116268
NYG,TE,1.1066282420749278
GB,TE,1.0626290070496376
CLE,TE,1.061995924531288
KC,TE,1.0546099618172105
WAS,TE,1.0503894116948806
ATL,TE,0.9808558484294936
JAX,TE,0.9765297845541054
LA,TE,0.969143821840028
MIA,TE,0.9533167588812902
CAR,TE,0.9063631387703691
MIN,TE,0.8583543811288653
NO,TE,0.7976839731203713
CHI,TE,0.7565336094276538
PIT,TE,0.7480925091829939
TEN,TE,0.7113737231187227
SF,TE,0.685311826113335
DEN,TE,0.6652642130322673
BUF,TE,0.6336100871147923
ARI,TE,0.6030110987278998
NE,TE,0.5808532105856672
MIN,WR,1.2176875858776546
TEN,WR,1.2068309540022926
WAS,WR,1.1647615054852647
ATL,WR,1.1209472411311254
BAL,WR,1.095744345706178
ARI,WR,1.080234871598518
SF,WR,1.0557686761936844
MIA,WR,1.0544503708945332
NO,WR,1.0544503708945332
JAX,WR,1.043012133740134
NYG,WR,1.0421978863494819
CHI,WR,1.0397163704922563
PIT,WR,1.030798422880352
LA,WR,1.0269210543534368
TB,WR,1.0160644224780748
CIN,WR,1.0159481014222673
HOU,WR,1.0092790275559735
DAL,WR,1.0063710011607874
GB,WR,0.9898921849213985
IND,WR,0.9864025532471751
CLE,WR,0.973994973961047
SEA,WR,0.9679850527443289
KC,WR,0.961315978878035
DET,WR,0.9563529471635839
DEN,WR,0.9340580781338225
NYJ,WR,0.9226973883499617
CAR,WR,0.9005963877465462
NE,WR,0.8660102604864643
LAC,WR,0.8594187339907088
LV,WR,0.8520517337895704
PHI,WR,0.7931157321804625
BUF,WR,0.7549236521903497
