team,component,pool_share,share_basis,raw_sum,target,scale,abs_delta
MIN,pass,1.0,exclusive,56.02,31.76,0.567,24.26
MIA,rush,0.9857,recent,47.23,26.85,0.5685,20.38
LV,pass,1.0,exclusive,48.1,31.07,0.6458,17.04
MIA,pass,1.0,exclusive,46.65,30.66,0.6573,15.98
MIN,rush,0.9803,recent,42.92,28.24,0.6581,14.68
LAC,rush,1.0,recent,43.35,28.59,0.6594,14.76
PHI,rush,1.0,recent,41.63,28.44,0.6832,13.19
LV,rush,0.9904,recent,38.53,26.81,0.6959,11.72
WAS,rush,1.0,recent,38.55,27.43,0.7115,11.12
ARI,pass,1.0,exclusive,47.51,35.23,0.7415,12.28
WAS,pass,1.0,exclusive,40.21,30.75,0.7649,9.45
PHI,pass,1.0,exclusive,43.24,33.58,0.7765,9.66
WAS,recv,1.0,recent,36.22,28.81,0.7954,7.41
ARI,recv,1.0,recent,39.52,33.73,0.8535,5.79
GB,recv,1.0,recent,34.22,29.69,0.8676,4.53
LV,recv,1.0,recent,33.89,29.97,0.8844,3.92
GB,rush,1.0,recent,31.2,27.65,0.8864,3.54
LAC,pass,1.0,exclusive,39.34,35.1,0.8921,4.25
MIN,recv,0.9912,recent,33.81,30.27,0.8952,3.54
GB,pass,1.0,exclusive,29.99,31.06,1.0357,1.07
ARI,rush,1.0,recent,23.6,22.85,0.9682,0.75
LAC,recv,0.9795,recent,33.75,32.81,0.9721,0.94
MIA,recv,0.959,recent,28.97,28.35,0.9785,0.62
PHI,recv,1.0,recent,31.74,31.74,0.9999,0.0
