player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,sigma,dst_p10,dst_p90,roster_role,slate_format,chalk_score,estimated_ownership_pct,ownership_available
00-0037744,Trey McBride,TE,ARI,11400,43716749,27.873529411764714,25.9755,1.0312886580299652,1.0,27.766946639137476,CAR,0.0,0.0,,,,CPT,showdown,67.22560975609755,7.4148633228456164,True
00-0039150,Bryce Young,QB,CAR,11400,43716744,20.44125,22.7784,1.0400384303979038,1.0,22.47504847417338,ARI,0.0,0.0,,,,CPT,showdown,66.0060975609756,6.835883547243836,True
00-0038559,Michael Wilson,WR,ARI,11400,43716759,19.46470588235294,29.811,0.8647810592275972,1.0,21.30634856356436,CAR,0.0,0.0,,,,CPT,showdown,64.78658536585365,6.302112640094565,True
00-0033119,Jacoby Brissett,QB,ARI,11400,43716743,24.36857142857143,23.5521,0.8475616769546165,1.0,20.30786231839559,CAR,0.0,0.0,,,,CPT,showdown,63.56707317073171,5.810020526820285,True
00-0037744,Trey McBride,TE,ARI,7600,43716690,18.582352941176477,17.317,1.0312886580299652,1.0,18.511297759424984,CAR,0.0,0.0,,,,FLEX,showdown,67.22560975609755,37.07431661422808,True
00-0033553,James Conner,RB,ARI,11400,43716765,16.65,15.515625,1.0994897617548982,1.0,17.6828876839737,CAR,0.0,0.0,,,,CPT,showdown,62.34756097560976,5.356352774038408,True
00-0040124,Tetairoa McMillan,WR,CAR,11400,43716747,18.82941176470588,15.080999999999998,0.9815399007789108,1.0,16.64221109945071,ARI,0.0,0.0,,,,CPT,showdown,61.12804878048781,4.938109066483919,True
00-0039150,Bryce Young,QB,CAR,7600,43716685,13.6275,15.1856,1.0400384303979038,1.0,14.98336564944892,ARI,0.0,0.0,,,,FLEX,showdown,66.0060975609756,34.17941773621918,True
00-0039921,Trey Benson,RB,ARI,11400,43716772,13.275000000000002,13.638586956521738,1.0994897617548982,1.0,14.795606655397915,CAR,0.0,0.0,,,,CPT,showdown,59.90853658536585,4.5525233645329415,True
00-0039491,Jalen Coker,WR,CAR,11400,43716760,12.327272727272728,17.0355,0.9815399007789108,1.0,14.410366514660492,ARI,0.0,0.0,,,,CPT,showdown,58.689024390243894,4.1970456110997745,True
