team,opponent,commence_time,spread,over_under,implied_total
CIN,HOU,2017-09-14,-5.5,38.0,21.75
HOU,CIN,2017-09-14,5.5,38.0,16.25
BAL,CLE,2017-09-17,-7.5,39.5,23.5
CLE,BAL,2017-09-17,7.5,39.5,16.0
CAR,BUF,2017-09-17,-6.5,43.0,24.75
BUF,CAR,2017-09-17,6.5,43.0,18.25
IND,ARI,2017-09-17,7.0,44.0,18.5
ARI,IND,2017-09-17,-7.0,44.0,25.5
JAX,TEN,2017-09-17,1.0,42.0,20.5
TEN,JAX,2017-09-17,-1.0,42.0,21.5
KC,PHI,2017-09-17,-4.0,46.5,25.25
PHI,KC,2017-09-17,4.0,46.5,21.25
NO,NE,2017-09-17,5.5,55.0,24.75
NE,NO,2017-09-17,-5.5,55.0,30.25
PIT,MIN,2017-09-17,-8.5,43.0,25.75
MIN,PIT,2017-09-17,8.5,43.0,17.25
TB,CHI,2017-09-17,-7.0,44.0,25.5
CHI,TB,2017-09-17,7.0,44.0,18.5
LAC,MIA,2017-09-17,-3.5,46.5,25.0
MIA,LAC,2017-09-17,3.5,46.5,21.5
LV,NYJ,2017-09-17,-14.0,44.0,29.0
NYJ,LV,2017-09-17,14.0,44.0,15.0
DEN,DAL,2017-09-17,2.5,44.0,20.75
DAL,DEN,2017-09-17,-2.5,44.0,23.25
LA,WAS,2017-09-17,-3.0,45.5,24.25
WAS,LA,2017-09-17,3.0,45.5,21.25
SEA,SF,2017-09-17,-13.5,42.0,27.75
SF,SEA,2017-09-17,13.5,42.0,14.25
ATL,GB,2017-09-17,-3.5,55.0,29.25
GB,ATL,2017-09-17,3.5,55.0,25.75
NYG,DET,2017-09-18,-3.0,42.0,22.5
DET,NYG,2017-09-18,3.0,42.0,19.5
