team,opponent,commence_time,spread,over_under,implied_total
SF,LA,2017-09-21,3.0,40.5,18.75
LA,SF,2017-09-21,-3.0,40.5,21.75
BUF,DEN,2017-09-24,3.5,40.0,18.25
DEN,BUF,2017-09-24,-3.5,40.0,21.75
CAR,NO,2017-09-24,-5.5,46.5,26.0
NO,CAR,2017-09-24,5.5,46.5,20.5
CHI,PIT,2017-09-24,7.0,43.5,18.25
PIT,CHI,2017-09-24,-7.0,43.5,25.25
DET,ATL,2017-09-24,3.0,51.0,24.0
ATL,DET,2017-09-24,-3.0,51.0,27.0
IND,CLE,2017-09-24,-1.0,42.0,21.5
CLE,IND,2017-09-24,1.0,42.0,20.5
MIN,TB,2017-09-24,0.0,41.0,20.5
TB,MIN,2017-09-24,-0.0,41.0,20.5
NE,HOU,2017-09-24,-13.5,44.5,29.0
HOU,NE,2017-09-24,13.5,44.5,15.5
NYJ,MIA,2017-09-24,5.5,43.0,18.75
MIA,NYJ,2017-09-24,-5.5,43.0,24.25
PHI,NYG,2017-09-24,-5.0,42.0,23.5
NYG,PHI,2017-09-24,5.0,42.0,18.5
TEN,SEA,2017-09-24,-2.0,42.0,22.0
SEA,TEN,2017-09-24,2.0,42.0,20.0
GB,CIN,2017-09-24,-7.0,47.5,27.25
CIN,GB,2017-09-24,7.0,47.5,20.25
LAC,KC,2017-09-24,3.0,47.5,22.25
KC,LAC,2017-09-24,-3.0,47.5,25.25
WAS,LV,2017-09-24,3.5,53.0,24.75
LV,WAS,2017-09-24,-3.5,53.0,28.25
JAX,BAL,2017-09-24,3.0,38.0,17.5
BAL,JAX,2017-09-24,-3.0,38.0,20.5
ARI,DAL,2017-09-25,3.0,46.5,21.75
DAL,ARI,2017-09-25,-3.0,46.5,24.75
