team,position,matchup_factor
WAS,QB,1.4604390222182644
KC,QB,1.3489469700342849
ATL,QB,1.329355714858186
TB,QB,1.3044213900886061
SF,QB,1.242441782804221
GB,QB,1.2260563693842115
MIN,QB,1.2175074580346408
IND,QB,1.171200854891135
DET,QB,1.1565964646689526
TEN,QB,1.1512533950754709
JAX,QB,1.1291687074224144
DAL,QB,1.1117146800837083
HOU,QB,1.1017409501758761
BAL,QB,1.0721759650919453
CLE,QB,1.0629146444632442
PIT,QB,1.0500912774388886
SEA,QB,1.033705864018879
LA,QB,1.0240883387506123
NYG,QB,0.9995102186205976
MIA,QB,0.942873680929694
LV,QB,0.9279130860679461
CHI,QB,0.9182955607996796
CIN,QB,0.8459860189678972
PHI,QB,0.8377933122578923
ARI,QB,0.8352998797809341
LAC,QB,0.7423304688543568
BUF,QB,0.7031479585021596
NYJ,QB,0.6821318847677992
CAR,QB,0.6657464713477893
NO,QB,0.5795449485729554
NE,QB,0.5770515160959971
DEN,QB,0.5485551449307627
SEA,RB,1.6701807228915664
NYJ,RB,1.375
MIA,RB,1.3403614457831328
JAX,RB,1.302710843373494
KC,RB,1.2981927710843375
SF,RB,1.2906626506024097
NYG,RB,1.2454819277108433
DET,RB,1.188253012048193
BAL,RB,1.177710843373494
LAC,RB,1.1596385542168675
HOU,RB,1.0963855421686748
ATL,RB,1.072289156626506
PHI,RB,1.0677710843373496
LV,RB,1.052710843373494
MIN,RB,1.0361445783132532
TEN,RB,1.0240963855421688
ARI,RB,1.0180722891566265
CIN,RB,1.0150602409638556
CHI,RB,1.0015060240963856
IND,RB,0.9864457831325301
LA,RB,0.9864457831325301
TB,RB,0.9472891566265061
NE,RB,0.944277108433735
DAL,RB,0.8749999999999999
GB,RB,0.8177710843373495
WAS,RB,0.7349397590361447
NO,RB,0.6972891566265061
PIT,RB,0.6295180722891566
BUF,RB,0.625
CLE,RB,0.5903614457831327
DEN,RB,0.3900602409638554
CAR,RB,0.34337349397590367
BAL,TE,1.7600247503480517
DAL,TE,1.69402382221
GB,TE,1.6450731338409448
HOU,TE,1.5592719272614772
NYG,TE,1.5427716952269641
LAC,TE,1.4217699936405352
PHI,TE,1.347518949485227
ATL,TE,1.3310187174507142
LA,TE,1.281518021347175
TB,TE,1.2732679053299185
DET,TE,1.1962668225021915
KC,TE,1.0780151595881817
MIA,TE,1.039514618174318
SEA,TE,1.039514618174318
WAS,TE,1.0367645795018994
MIN,TE,1.023014386139805
JAX,TE,1.0175143087949674
SF,TE,0.9872638833983605
PIT,TE,0.9432632646396591
CLE,TE,0.8772623365016071
LV,TE,0.8580120657946753
BUF,TE,0.7755109056221103
IND,TE,0.7480105188979221
NO,TE,0.7122600161564772
CHI,TE,0.6627593200529383
NYJ,TE,0.6435090493460064
CAR,TE,0.6297588559839123
CIN,TE,0.5582578505010226
NE,TE,0.4372561489145941
ARI,TE,0.35200495006961036
DEN,TE,0.3437548340523539
TEN,TE,0.18425259105206168
TB,WR,1.5756083704194677
WAS,WR,1.431237015211349
TEN,WR,1.339445351097545
MIN,WR,1.262803767468544
PIT,WR,1.2013122643243455
DAL,WR,1.149623754435019
IND,WR,1.1469502108200538
ARI,WR,1.1442766672050886
CHI,WR,1.1050646941855997
CIN,WR,1.100965260642653
JAX,WR,1.0845675264708665
ATL,WR,1.073873352011006
NO,WR,1.0694174459860641
LA,WR,1.0605056339361802
KC,WR,1.039117285016459
SEA,WR,1.0204024797117028
LV,WR,1.0088171240468535
NYG,WR,0.9820816878972022
MIA,WR,0.9660404262074113
BAL,WR,0.947325620902655
SF,WR,0.9339579028278294
DET,WR,0.9250460907779454
DEN,WR,0.9081136478831662
HOU,WR,0.8234514334092694
CLE,WR,0.7824570979798036
CAR,WR,0.7806747355698268
GB,WR,0.7726541047249313
NE,WR,0.7254215008605469
NYJ,WR,0.7058155143508024
BUF,WR,0.6924477962759764
LAC,WR,0.6514534608465106
PHI,WR,0.5890707764973235
