team,opponent,commence_time,spread,over_under,implied_total
GB,CHI,2017-09-28,-7.5,44.0,25.75
CHI,GB,2017-09-28,7.5,44.0,18.25
ATL,BUF,2017-10-01,-8.0,48.0,28.0
BUF,ATL,2017-10-01,8.0,48.0,20.0
BAL,PIT,2017-10-01,3.5,42.0,19.25
PIT,BAL,2017-10-01,-3.5,42.0,22.75
CLE,CIN,2017-10-01,3.0,41.5,19.25
CIN,CLE,2017-10-01,-3.0,41.5,22.25
DAL,LA,2017-10-01,-5.0,51.0,28.0
LA,DAL,2017-10-01,5.0,51.0,23.0
HOU,TEN,2017-10-01,2.5,43.0,20.25
TEN,HOU,2017-10-01,-2.5,43.0,22.75
MIN,DET,2017-10-01,-2.5,43.0,22.75
DET,MIN,2017-10-01,2.5,43.0,20.25
NE,CAR,2017-10-01,-9.0,48.0,28.5
CAR,NE,2017-10-01,9.0,48.0,19.5
NYJ,JAX,2017-10-01,4.0,38.5,17.25
JAX,NYJ,2017-10-01,-4.0,38.5,21.25
ARI,SF,2017-10-01,-6.5,43.0,24.75
SF,ARI,2017-10-01,6.5,43.0,18.25
LAC,PHI,2017-10-01,-1.5,48.0,24.75
PHI,LAC,2017-10-01,1.5,48.0,23.25
TB,NYG,2017-10-01,-2.5,46.0,24.25
NYG,TB,2017-10-01,2.5,46.0,21.75
DEN,LV,2017-10-01,-3.5,44.0,23.75
LV,DEN,2017-10-01,3.5,44.0,20.25
SEA,IND,2017-10-01,-12.5,41.5,27.0
IND,SEA,2017-10-01,12.5,41.5,14.5
MIA,NO,2017-10-01,4.0,51.5,23.75
NO,MIA,2017-10-01,-4.0,51.5,27.75
KC,WAS,2017-10-02,-6.5,48.0,27.25
WAS,KC,2017-10-02,6.5,48.0,20.75
