player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,engine_projection,stack_delta,roster_role,slate_format,chalk_score,estimated_ownership_pct,ownership_available,estimated_ownership_pct_heuristic,injury_raw_status,injury_status
00-0040667,Matthew Golden,WR,GB,7800,44225874,11.5549,11.5549,1.0,1.0837083708370836,12.522113685740752,ATL,24.08,43.0,2.0,1.0,8.452,statline_mc+recal_10_4b,2.9472157598578703,27.66170260402752,0.0,0.0,0.0,0.02675,0.2234819804972175,0.002,7.14575,4.2435,58.93265487691031,0.3135,12.522113685740752,0.0,FLEX,showdown,77.99528301886792,43.95578256255004,True,34.76986587039191,,ACTIVE
00-0025565,Nick Folk,K,ATL,7200,44225938,12.507525,12.507525,1.0,1.0,12.507525,GB,0.0,0.0,,,7.4847,kicker_session_13_1,3.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33835,0.0,CPT,showdown,51.53301886792452,0.1546779433899421,True,1.2194458239331338,,ACTIVE
00-0037238,Drake London,WR,ATL,8800,44225869,14.5939,14.5939,1.0,0.8514851485148516,12.426456738480596,GB,18.92,43.0,2.0,1.0,8.3446,statline_mc+recal_10_4b,3.2957366691748344,26.19483305178822,0.0,0.0,0.0,0.59275,2.819054858866083,0.02125,7.29,4.54725,54.11551252593986,0.27225,12.426456738480596,0.0,FLEX,showdown,67.8066037735849,28.24088299449712,True,17.628304233508313,,ACTIVE
00-0040899,Trey Smack,K,GB,7800,44225935,12.103125,12.103125,1.0,1.0,12.103125,ATL,0.0,0.0,,,7.29495,kicker_session_13_1,3.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.06875,0.0,CPT,showdown,48.702830188679236,1.0096693177249894,True,1.0097646335277837,,ACTIVE
DST_GB,Packers,DST,GB,7500,44225937,12.033971988750002,12.033971988750002,1.1493179556413324,1.1879955073995772,12.033971988750002,ATL,24.08,43.0,,,8.64,dst_simulated_session_10_4+recal_10_4b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.022647992500001,0.0,CPT,showdown,70.25943396226415,5.417162113399394,True,4.249597131367988,,ACTIVE
00-0040003,Lenny Krieg,K,GB,7800,44225936,11.9931,11.9931,1.0,1.0,11.9931,ATL,0.0,0.0,,,7.2894,kicker_session_13_1,3.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9954,0.0,CPT,showdown,47.476415094339615,1.1860245380168732,True,0.9304901964855128,,ACTIVE
00-0035700,Josh Jacobs,RB,GB,12600,44225924,10.4796,10.4796,1.0,1.0837083708370836,0.0,ATL,24.08,43.0,0.0,0.0,10.446000000000002,statline_mc+recal_10_4b,2.180814898068293,24.487093611997608,0.0,0.0,0.0,6.1455,27.810207143287997,0.20025,2.13075,1.61025,14.075008196944417,0.0735,7.571271534023241,0.0,CPT,showdown,38.56132075471698,0.0,True,3.025878747427009,Out,OUT
00-0036970,Kyle Pitts Sr.,TE,ATL,9900,44225930,12.7518,12.7518,1.0,0.8514851485148516,10.857984239507363,GB,18.92,43.0,2.0,1.0,9.23475,statline_mc+recal_10_4b,2.311755992711527,22.54968786637484,0.0,0.0,0.0,0.0,0.0,0.0,4.63275,2.906,30.95906159671576,0.1835,7.238656159671576,0.0,CPT,showdown,55.636792452830186,0.8467848607762581,True,1.5732027254525949,,ACTIVE
00-0039811,MarShawn Lloyd,RB,GB,11100,44225928,9.93555,9.93555,1.0,1.0837083708370836,10.767208779171614,ATL,24.08,43.0,2.0,1.0,10.5315,statline_mc+recal_10_4b,1.5268425968591255,23.880288510198767,0.0,0.0,0.0,7.48275,30.927246160646305,0.2405,1.61225,1.21725,8.499145700497799,0.07425,7.17813918611441,0.0,CPT,showdown,63.93867924528302,0.8467848607762581,True,2.7362068870049225,,ACTIVE
00-0038996,Tucker Kraft,TE,GB,7000,44225876,8.7868,8.7868,1.0,1.0837083708370836,9.522361652473151,ATL,24.08,43.0,2.0,1.0,6.665,statline_mc+recal_10_4b,2.0634781157204105,20.429502701396903,0.0,0.0,0.0,0.0,0.0,0.0,5.102,3.278,41.36111652473151,0.30575,9.522361652473151,0.0,FLEX,showdown,71.6745283018868,26.87210527177821,True,22.8138416253798,,ACTIVE
