player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,engine_projection,stack_delta,dk_avg_ppg,ffc_own_pct,chalk_score,estimated_ownership_pct,roster_role,slate_format,ownership_available,injury_raw_status,injury_status,estimated_ownership_pct_heuristic_x,estimated_ownership_pct_heuristic_y
00-0039365,Jacob Cowing,WR,SF,3300,44265759,1.6754,1.6754,1.0,1.2658208888156617,2.1207318341977874,ARI,28.17,47.89,2.0,1.0,4.3982,statline_mc+recal_10_4b,0.0,4.098247308793631,0.0,0.0,0.0,0.02425,0.2115044841132113,0.0015,0.60875,0.3755,5.562839039207828,0.03475,1.178184352332104,0.9425474818656834,0.0,,59.063673708920184,0.38351105873238284,,classic,True,,ACTIVE,3.422872331905729,3.845312548905267
00-0036646,Simi Fehoko,WR,ARI,3000,44265815,2.3904,2.3904,1.0,0.8861195572397886,2.1181755096929646,SF,19.72,47.89,1.0,0.5,4.305,statline_mc+recal_10_4b,0.0,3.90956761927827,0.0,0.0,0.0,0.0315,0.1615831488680418,0.001,0.744,0.44275,5.211058571648431,0.03125,1.176764172051647,0.9414113376413176,0.0,,43.962147887323944,0.3119853352023991,,classic,True,,ACTIVE,1.4079785361217736,1.581746851342231
00-0039855,Jalen McMillan,WR,TB,4100,44265739,2.1072,2.1072,1.0,0.9261117684945256,1.951502019311322,MIN,20.61,42.5,0.0,0.0,4.1717,statline_mc+recal_10_4b,0.0,3.783247359772993,0.0,0.0,0.0,0.02925,0.1523682052137684,0.0005,0.677,0.416,5.044309679849131,0.0235,1.08416778850629,0.867334230805032,0.0,,44.289906103286384,0.3184167931240721,,classic,True,,ACTIVE,1.3989187465420532,1.6125386420826395
00-0039041,Elijah Higgins,TE,ARI,2500,44265917,2.0994,2.0994,1.0,0.8861195572397886,1.8602754706245883,SF,19.72,47.89,1.0,0.5,3.9478,statline_mc+recal_10_4b,0.0,3.504239363223842,0.0,0.0,0.0,0.0,0.0,0.0,0.6305,0.4275,4.192363725692157,0.031,1.0334863725692158,0.8267890980553727,0.0,,46.063109425785484,0.25753195597568257,,classic,True,,ACTIVE,1.0642402486350024,1.0873130813518948
00-0041094,Bauer Sharp,TE,TB,2500,44265933,2.0037,2.0037,1.0,0.9261117684945256,1.8556876211846445,MIN,20.61,42.5,1.0,0.5,3.9453,statline_mc+recal_10_4b,0.0,3.4340815510875515,0.0,0.0,0.0,0.0,0.0,0.0,0.64325,0.43025,4.256875673248026,0.0295,1.0309375673248025,0.824750053859842,0.0,,42.36682918020946,0.2453283196860271,,classic,True,,ACTIVE,0.8562720938351295,0.874836156608118
00-0038643,Brayden Willis,TE,SF,2500,44265909,1.4576,1.4576,1.0,1.2658208888156617,1.8450058165530727,ARI,28.17,47.89,1.0,0.5,4.0146,statline_mc+recal_10_4b,0.0,3.654926046034564,0.0,0.0,0.0,0.0,0.0,0.0,0.5325,0.35675,4.620032314183734,0.034,1.0250032314183737,0.820002585134699,0.0,,59.1165583243048,0.3058011937145433,,classic,True,,ACTIVE,2.2935735380644364,2.343298436775537
00-0039518,Treyton Welch,TE,NO,2500,44265891,1.6751,1.6751,1.0,1.0496832077647802,1.7583229429575786,LV,23.36,43.67,1.0,0.5,3.9102,statline_mc+recal_10_4b,0.0,3.45072734149999,0.0,0.0,0.0,0.0,0.0,0.0,0.5535,0.374,4.38596079420877,0.0275,0.976846079420877,0.7814768635367016,0.0,,49.14093535572409,0.26772047742840815,,classic,True,,ACTIVE,1.275463634144317,1.3031158105253895
00-0041099,Barion Brown,WR,NO,3000,44265769,1.6148,1.6148,1.0,1.0496832077647802,0.0,LV,23.36,43.67,2.0,1.0,4.6657,statline_mc+recal_10_4b,0.0,3.1507820107948543,0.0,0.0,0.0,0.30775,2.211046051983624,0.015,0.35475,0.21975,2.8707428535282924,0.019,0.9416788905511916,0.7533431124409533,0.2,,26.362089201877932,0.0,,classic,True,Out,OUT,1.8577339595133968,0.0
00-0039407,Dylan Laube,RB,LV,4000,44265657,1.7114,1.7114,1.0,0.9126312478468614,1.5618411377180816,NO,20.31,43.67,2.0,1.0,4.0246,statline_mc+recal_10_4b,0.0,2.937587091026534,0.0,0.0,0.0,0.7925,2.940121576288884,0.02425,0.28525,0.22175,1.606773633256014,0.008,0.8676895209544898,0.6941516167635918,0.0,,39.25981420437518,0.2436069701740333,,classic,True,,ACTIVE,0.4026231783815847,0.44336839176585063
00-0031236,Brandin Cooks,WR,SF,3500,44265755,1.0624,1.0624,1.0,1.2658208888156617,1.3447566497205432,ARI,28.17,47.89,0.0,0.0,4.0531,statline_mc+recal_10_4b,0.0,2.732186924065354,0.0,0.0,0.0,0.0175,0.0803687215720781,0.0005,0.38225,0.23,3.6430015546531616,0.023,0.747087027622524,0.5976696220980192,0.0,,57.876173708920184,0.37275362481710095,,classic,True,,ACTIVE,3.076714831680933,3.585872951690985
