team,opponent,commence_time,spread,over_under,implied_total
ATL,NO,2017-12-07,-2.5,51.5,27.0
NO,ATL,2017-12-07,2.5,51.5,24.5
BUF,IND,2017-12-10,-3.5,36.5,20.0
IND,BUF,2017-12-10,3.5,36.5,16.5
CAR,MIN,2017-12-10,2.5,40.5,19.0
MIN,CAR,2017-12-10,-2.5,40.5,21.5
CIN,CHI,2017-12-10,-6.0,40.5,23.25
CHI,CIN,2017-12-10,6.0,40.5,17.25
CLE,GB,2017-12-10,2.5,38.5,18.0
GB,CLE,2017-12-10,-2.5,38.5,20.5
HOU,SF,2017-12-10,-1.0,45.5,23.25
SF,HOU,2017-12-10,1.0,45.5,22.25
KC,LV,2017-12-10,-4.5,48.5,26.5
LV,KC,2017-12-10,4.5,48.5,22.0
NYG,DAL,2017-12-10,4.0,42.0,19.0
DAL,NYG,2017-12-10,-4.0,42.0,23.0
TB,DET,2017-12-10,0.0,47.5,23.75
DET,TB,2017-12-10,-0.0,47.5,23.75
ARI,TEN,2017-12-10,2.5,42.0,19.75
TEN,ARI,2017-12-10,-2.5,42.0,22.25
DEN,NYJ,2017-12-10,1.0,40.5,19.75
NYJ,DEN,2017-12-10,-1.0,40.5,20.75
LAC,WAS,2017-12-10,-6.0,46.5,26.25
WAS,LAC,2017-12-10,6.0,46.5,20.25
JAX,SEA,2017-12-10,-3.0,41.0,22.0
SEA,JAX,2017-12-10,3.0,41.0,19.0
LA,PHI,2017-12-10,1.0,47.5,23.25
PHI,LA,2017-12-10,-1.0,47.5,24.25
PIT,BAL,2017-12-10,-6.0,43.0,24.5
BAL,PIT,2017-12-10,6.0,43.0,18.5
MIA,NE,2017-12-11,10.0,48.0,19.0
NE,MIA,2017-12-11,-10.0,48.0,29.0
