roster_slot,player_name,position,team,salary,projection
QB,Daniel Jones,QB,IND,7200,17.263185900357573
DEF,Browns ,DEF,CLE,3800,3.5115113871635613
RB1,Jonathan Taylor,RB,IND,9200,26.86551243116205
RB2,De'Von Achane,RB,MIA,7400,20.545523824477826
WR1,Michael Pittman Jr.,WR,IND,4400,13.53089583332819
WR2,Jaylen Waddle,WR,MIA,7200,12.526217356251015
WR3,Nico Collins,WR,HOU,9600,12.251636201487578
TE,Dalton Schultz,TE,HOU,4200,12.524734334201998
FLEX,Harold Fannin Jr.,TE,CLE,3100,10.386072712159796
