position,ecr,exp_pts
RB,18.51,12.639
RB,18.55,12.639
RB,18.6,12.639
RB,18.64,12.639
RB,18.66,12.639
RB,18.71,12.639
RB,18.77,12.639
RB,18.79,12.639
RB,18.9,12.639
RB,18.93,12.639
RB,18.94,12.639
RB,19.0,12.639
RB,19.03,12.639
RB,19.05,12.639
RB,19.09,12.639
RB,19.1,12.639
RB,19.15,12.639
RB,19.18,12.639
RB,19.21,12.639
RB,19.22,12.639
RB,19.28,12.639
RB,19.35,12.639
RB,19.44,12.639
RB,19.46,12.639
RB,19.48,12.639
RB,19.5,12.639
RB,19.54,12.639
RB,19.58,12.639
RB,19.67,12.639
RB,19.69,12.639
RB,19.76,12.639
RB,19.95,12.639
RB,20.08,12.639
RB,20.12,12.639
RB,20.13,12.639
RB,20.15,12.639
RB,20.26,12.639
RB,20.29,12.639
RB,20.3,12.639
RB,20.38,12.639
RB,20.4,12.639
RB,20.42,12.639
RB,20.44,12.639
RB,20.5,12.639
RB,20.52,12.538
RB,20.69,12.538
RB,20.74,12.538
RB,20.84,12.538
RB,20.85,12.538
RB,20.87,12.538
RB,20.94,12.538
RB,20.95,12.538
RB,21.0,12.538
RB,21.18,12.538
RB,21.19,12.538
RB,21.26,12.538
RB,21.36,12.538
RB,21.41,12.538
RB,21.48,12.538
RB,21.5,12.538
RB,21.71,12.538
RB,21.72,12.538
RB,21.74,12.538
RB,21.77,12.538
RB,21.81,12.538
RB,21.86,11.986
RB,21.87,11.986
RB,21.89,11.986
RB,21.95,11.986
RB,22.02,11.986
RB,22.08,11.986
RB,22.1,11.986
RB,22.12,11.986
RB,22.18,11.986
RB,22.21,11.986
RB,22.26,11.986
RB,22.3,11.986
RB,22.34,11.986
RB,22.35,11.986
RB,22.43,11.986
RB,22.45,11.986
RB,22.5,11.986
RB,22.53,11.986
RB,22.59,11.986
RB,22.6,11.986
RB,22.71,11.986
RB,22.76,11.986
RB,22.77,11.986
RB,22.78,11.986
RB,22.81,11.986
RB,22.86,11.986
RB,22.94,11.986
RB,23.0,11.986
RB,23.05,11.986
RB,23.08,11.986
RB,23.1,11.986
RB,23.14,11.986
RB,23.21,11.986
RB,23.24,11.986
RB,23.38,11.986
RB,23.41,11.986
RB,23.56,11.986
RB,23.59,11.986
RB,23.61,11.986
RB,23.72,11.986
RB,23.73,11.986
RB,23.74,11.986
RB,23.76,11.986
RB,23.85,11.986
RB,23.87,11.986
RB,23.89,11.986
RB,23.94,11.986
RB,23.97,11.986
RB,23.99,11.986
RB,24.02,11.986
RB,24.03,11.986
RB,24.05,11.986
RB,24.07,11.986
RB,24.11,11.986
RB,24.23,11.986
RB,24.29,11.986
RB,24.3,11.986
RB,24.34,11.986
RB,24.41,11.986
RB,24.44,11.986
RB,24.47,11.986
RB,24.57,11.986
RB,24.67,11.986
RB,24.68,11.986
RB,24.74,11.986
RB,24.82,11.986
RB,24.85,11.986
RB,25.13,11.986
RB,25.19,11.986
RB,25.22,11.986
RB,25.25,11.986
RB,25.27,11.986
RB,25.37,11.986
RB,25.42,11.986
RB,25.44,11.986
RB,25.58,11.986
RB,25.71,11.986
RB,25.74,11.986
RB,25.75,11.986
RB,25.79,11.986
RB,25.88,11.986
RB,26.03,11.986
RB,26.07,11.986
RB,26.14,11.986
RB,26.15,11.986
RB,26.21,11.986
RB,26.26,11.986
RB,26.29,11.986
RB,26.31,11.986
RB,26.5,11.986
RB,26.52,11.986
RB,26.58,11.986
RB,26.61,11.986
RB,26.63,11.986
RB,26.64,11.986
RB,26.89,11.986
RB,26.9,11.986
RB,26.91,11.986
RB,26.94,11.986
RB,27.0,11.986
RB,27.04,11.986
RB,27.08,11.986
RB,27.1,11.986
RB,27.12,11.986
RB,27.13,10.867
RB,27.15,10.867
RB,27.2,10.867
RB,27.21,10.867
RB,27.27,10.867
RB,27.33,10.867
RB,27.37,10.867
RB,27.39,10.867
RB,27.47,10.867
RB,27.49,10.867
RB,27.58,10.867
RB,27.67,10.867
RB,27.68,10.867
RB,27.79,10.867
RB,27.82,10.867
RB,27.9,10.867
RB,27.91,10.867
RB,28.0,10.867
RB,28.03,10.867
RB,28.08,10.867
RB,28.1,10.867
RB,28.22,10.867
RB,28.29,10.867
RB,28.31,10.867
RB,28.36,10.867
RB,28.37,10.867
RB,28.38,10.867
RB,28.46,10.867
RB,28.55,10.867
RB,28.62,10.867
RB,28.73,10.867
RB,28.82,10.867
RB,28.84,10.867
RB,28.99,10.867
RB,29.05,10.867
RB,29.06,10.867
RB,29.08,10.867
RB,29.09,10.867
RB,29.13,10.867
RB,29.16,10.867
RB,29.18,10.867
RB,29.21,10.867
RB,29.22,10.867
RB,29.26,10.867
RB,29.27,10.867
RB,29.39,10.867
RB,29.41,9.738
RB,29.42,9.738
RB,29.47,9.738
RB,29.63,9.738
RB,29.64,9.738
RB,29.66,9.738
RB,29.71,9.738
RB,29.72,9.738
RB,29.74,9.738
RB,29.77,9.738
RB,29.84,9.738
RB,29.88,9.738
RB,29.95,9.738
RB,29.97,9.738
RB,30.0,9.738
RB,30.06,9.738
RB,30.13,9.738
RB,30.15,9.738
RB,30.18,9.738
RB,30.25,9.738
RB,30.29,9.738
RB,30.31,9.738
RB,30.37,9.738
RB,30.41,9.738
RB,30.45,9.738
RB,30.53,9.738
RB,30.59,9.738
RB,30.64,9.738
RB,30.68,9.738
RB,30.7,9.738
RB,30.74,9.738
RB,30.87,9.738
RB,30.88,9.738
RB,30.89,9.738
RB,30.9,9.738
RB,31.0,9.738
RB,31.03,9.738
RB,31.1,9.738
RB,31.11,9.738
RB,31.13,9.738
RB,31.14,9.738
RB,31.15,9.738
RB,31.16,9.738
RB,31.18,9.738
RB,31.26,9.738
RB,31.29,9.738
RB,31.32,9.738
RB,31.36,9.738
RB,31.37,9.738
RB,31.41,9.738
RB,31.42,9.738
RB,31.5,9.738
