Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
134303-136855,RB,Bijan,Bijan Robinson,Robinson,27.299999237060547,1,8900,CAR@ATL,ATL,CAR,,,,,,RB/FLEX
134303-63115,QB,Lamar,Lamar Jackson,Jackson,27.959999084472656,1,8800,NO@BAL,BAL,NO,,,,,,QB
134303-85701,WR,Ja'Marr,Ja'Marr Chase,Chase,2.200000047683716,1,8800,CIN@HOU,CIN,HOU,,,,,,WR/FLEX
134303-39280,RB,Derrick,Derrick Henry,Henry,37.79999923706055,1,8700,NO@BAL,BAL,NO,,,,,,RB/FLEX
134303-85671,WR,Justin,Justin Jefferson,Jefferson,27.200000762939453,1,8600,MIN@CHI,MIN,CHI,,,,,,WR/FLEX
134303-69531,QB,Jalen,Jalen Hurts,Hurts,24.719999313354492,1,8600,PHI@TEN,PHI,TEN,,,,,,QB
134303-152113,QB,Caleb,Caleb Williams,Williams,37.2599983215332,1,8400,MIN@CHI,CHI,MIN,,,,,,QB
134303-64401,RB,Saquon,Saquon Barkley,Barkley,8.5,1,8300,PHI@TEN,PHI,TEN,,,,,,RB/FLEX
134303-63336,QB,Joe,Joe Burrow,Burrow,15.15999984741211,1,8200,CIN@HOU,CIN,HOU,Q,Back,,,,QB
134303-152664,RB,Bucky,Bucky Irving,Irving,16.799999237060547,1,7900,CLE@TB,TB,CLE,,,,,,RB/FLEX
134303-87770,WR,Chris,Chris Olave,Olave,26.200000762939453,1,7900,NO@BAL,NO,BAL,,,,,,WR/FLEX
134303-91419,WR,Nico,Nico Collins,Collins,17.700000762939453,1,7800,CIN@HOU,HOU,CIN,Q,Hamstring,,,,WR/FLEX
134303-112745,WR,Drake,Drake London,London,4.5,1,7700,CAR@ATL,ATL,CAR,,,,,,WR/FLEX
134303-69017,QB,Jordan,Jordan Love,Love,23.479999542236328,1,7700,GB@NYJ,GB,NYJ,,,,,,QB
134303-89493,RB,Chase,Chase Brown,Brown,16.299999237060547,1,7600,CIN@HOU,CIN,HOU,,,,,,RB/FLEX
