team,component,pool_share,share_basis,raw_sum,target,scale,abs_delta
ARI,rush,1.0,recent,10.24,22.85,2.231,12.61
MIA,recv,0.959,recent,16.94,28.35,1.6735,11.41
WAS,recv,1.0,recent,17.88,28.81,1.6117,10.93
MIA,pass,1.0,exclusive,19.63,30.66,1.562,11.03
WAS,pass,1.0,exclusive,22.09,30.75,1.3919,8.66
LAC,recv,0.9795,recent,23.81,32.81,1.378,9.0
MIN,recv,0.9912,recent,22.49,30.27,1.3456,7.77
LV,recv,1.0,recent,22.79,29.97,1.3152,7.18
PHI,recv,1.0,recent,24.54,31.74,1.2935,7.2
GB,pass,1.0,exclusive,24.33,31.06,1.2763,6.72
MIA,rush,0.9857,recent,36.97,26.85,0.7264,10.11
MIN,rush,0.9803,recent,38.2,28.24,0.7393,9.96
PHI,rush,1.0,recent,36.2,28.44,0.7855,7.77
PHI,pass,1.0,exclusive,28.13,33.58,1.1939,5.45
ARI,recv,1.0,recent,28.52,33.73,1.1828,5.21
LAC,pass,1.0,exclusive,29.79,35.1,1.178,5.3
LV,rush,0.9904,recent,31.6,26.81,0.8486,4.78
WAS,rush,1.0,recent,31.52,27.43,0.8702,4.09
GB,rush,1.0,recent,24.57,27.65,1.1257,3.09
GB,recv,1.0,recent,26.46,29.69,1.1219,3.23
LAC,rush,1.0,recent,29.5,28.59,0.969,0.91
LV,pass,1.0,exclusive,30.23,31.07,1.0277,0.84
ARI,pass,1.0,exclusive,34.63,35.23,1.0174,0.6
MIN,pass,1.0,exclusive,32.0,31.76,0.9925,0.24
