player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,engine_projection,stack_delta,dk_avg_ppg,ffc_own_pct,chalk_score,estimated_ownership_pct,estimated_ownership_pct_heuristic,roster_role,slate_format,ownership_available,act,slate_id,week,sub,S
00-0036900,Ja'Marr Chase,WR,CIN,7800,43727631,14.9992,14.9992,1.022361164037218,1.2076538297041486,18.518927306601977,TB,27.06,50.44,16.0,1.0,9.0533,statline_mc+recal_10_4b,7.032897575625464,35.23659314748201,0.0,0.0,0.0,0.059,0.5354648540805713,0.00275,7.67275,5.0975,70.62681941206169,0.40975,15.295478426614228,3.2234488799877496,21.0,53.7,96.88190918277124,37.18786662389505,16.105087167761166,,classic,True,3.2,dk_classic_wk1_main_13Sep2026,1,main,9.591228426614226
00-0036223,Jonathan Taylor,RB,IND,7300,43727329,16.9154,16.9154,1.0528853236196114,1.0090559160979602,17.971256217107303,BAL,22.61,48.17,17.0,1.0,9.1851,statline_mc+recal_10_4b,4.655182319844903,36.77944690983898,0.0,0.0,0.0,12.7455,66.53491290158051,0.66425,3.088,2.45025,22.26396940696065,0.09975,16.564388230854117,1.406867986253186,22.3,18.6,86.57051511995678,18.486200681864503,13.13240943855082,,classic,True,26.1,dk_classic_wk1_main_13Sep2026,1,main,13.463888230854117
00-0036322,Justin Jefferson,WR,MIN,7300,43727635,16.3303,16.3303,1.0154804383117852,1.0635029845472972,17.636138930127906,GB,23.83,46.06,17.0,1.0,8.326,statline_mc+recal_10_4b,8.33688446051828,32.21244965797254,0.0,0.0,0.0,0.2505,1.756094590240073,0.01125,7.4325,4.42925,58.19451684984767,0.233,12.366561144008774,5.269577786119132,12.4,8.1,87.80356353416698,16.49331791432418,9.44149997284574,,classic,True,31.2,dk_classic_wk1_main_13Sep2026,1,main,7.460561144008775
00-0040743,Tyler Shough,QB,NO,5600,43727245,16.232,16.232,1.1180630728151837,0.9568402848801532,17.365093854825666,DET,21.44,49.83,11.0,1.0,8.14,statline_mc+recal_10_4b,4.234130145219071,33.05039382368024,35.63725,278.0335451220792,1.2875,6.6025,29.223866851341512,0.33925,0.0,0.0,0.0,0.0,21.31047849001732,-3.945384635191651,15.6,,76.86655298724264,2.039855595858492,3.371709173321789,,classic,True,29.2,dk_classic_wk1_main_13Sep2026,1,main,21.22922849001732
00-0039918,Caleb Williams,QB,CHI,6300,43727239,18.3319,18.3319,0.8475138918957928,1.1130408910872678,17.292822396742995,CAR,24.94,46.94,17.0,1.0,7.9261,statline_mc+recal_10_4b,6.7158911237532894,30.45407929299276,35.01275,228.7716366671484,1.5325,2.55725,11.557045910285437,0.099,0.0,0.0,0.0,0.0,16.93607005771448,0.3567523390285139,19.8,,81.99732379689276,0.8412170493501702,4.864205622576434,,classic,True,37.26,dk_classic_wk1_main_13Sep2026,1,main,17.030570057714485
00-0037239,Chris Olave,WR,NO,6700,43727639,15.381,15.381,1.1600139047999032,0.9568402848801532,17.072108966519693,DET,21.44,49.83,16.0,1.0,9.6611,statline_mc+recal_10_4b,4.1875878182956034,35.241467814850964,0.0,0.0,0.0,0.0,0.0,0.0,9.048,5.742,77.77024062797055,0.54075,17.423774062797055,-0.3516650962773617,17.4,7.0,83.35006947075912,17.693335197262332,7.265554536216239,,classic,True,31.2,dk_classic_wk1_main_13Sep2026,1,main,11.021524062797056
00-0035710,Daniel Jones,QB,IND,5400,43727247,15.4944,15.4944,1.0861658367612037,1.0090559160979602,16.98186066833392,BAL,22.61,48.17,13.0,1.0,8.1367,statline_mc+recal_10_4b,3.8929636361325706,32.126343931957166,34.96325,309.0692324674241,1.835,1.7875,7.864058356861228,0.1235,0.0,0.0,0.0,0.0,21.648175134383088,-4.666314466049169,18.7,,79.17882404951371,1.94959864279715,3.97721572388274,,classic,True,10.04,dk_classic_wk1_main_13Sep2026,1,main,21.230175134383085
00-0039064,Zay Flowers,WR,BAL,6400,43727645,12.6337,12.6337,1.1739282612668898,1.1407107127582423,16.91798215596375,IND,25.56,48.17,17.0,1.0,9.3728,statline_mc+recal_10_4b,3.9775439138427,36.02093734675158,0.0,0.0,0.0,0.178,1.4673343425595908,0.01175,6.4685,4.51075,82.44518841327614,0.3915,16.059752275583573,0.8582298803801756,15.0,11.6,92.57641783503853,19.48832572368925,12.501779551667289,,classic,True,29.0,dk_classic_wk1_main_13Sep2026,1,main,10.810752275583575
00-0040666,Omarion Hampton,RB,LAC,6800,43727339,11.1685,11.1685,1.1940378460178651,1.2580843111367317,16.777252706242056,ARI,28.19,47.17,9.0,1.0,9.3252,statline_mc+recal_10_4b,2.268099375150623,37.63078606544861,0.0,0.0,0.0,10.94725,70.93052705717466,0.49425,3.89575,3.218,34.218578724639926,0.1835,18.618160578181456,-1.8409078719394003,13.9,4.9,91.3813353390419,12.8649224148542,20.336767821320777,,classic,True,9.3,dk_classic_wk1_main_13Sep2026,1,main,14.581410578181458
00-0036971,Trevor Lawrence,QB,JAX,5800,43727243,18.8184,18.8184,0.8166269755358303,1.0898339438793538,16.74810860364971,CLE,24.42,40.11,17.0,1.0,8.0581,statline_mc+recal_10_4b,4.860316602391806,31.04706573879843,32.94225,209.50141314828957,1.4905,6.35425,24.90815077187056,0.4045,0.0,0.0,0.0,0.0,18.71387160311864,-1.9657629994689287,21.0,7.4,73.25928381962865,5.744317478631381,2.605846841500824,,classic,True,26.1,dk_classic_wk1_main_13Sep2026,1,main,19.25987160311864
