variant,pear,spear,bias,mae,rmse,cell_sp,cell_topact,n,ncell
mA0,0.48364765637977664,0.5032900350828624,-0.39782424495345065,6.298923336825217,8.393603448775673,0.32453796002405333,15.971630434782607,240,23
mA0.25,0.47505468376029086,0.4965706387582081,-0.414562493270784,6.354499683878921,8.441427861958212,0.30629908064967315,15.840036231884058,240,23
mA0.5,0.46441446210109794,0.4858904585174319,-0.4224568786656408,6.411799512476858,8.500770777426734,0.27495267939807555,15.648297101449277,240,23
mA0.75,0.45194631093723847,0.4746745326499436,-0.42154299760977626,6.4803668992113375,8.57134733422508,0.2742418481214991,15.761268115942029,240,23
mA1.0,0.4379187066646809,0.46332792652828964,-0.4118277081684628,6.559265491266957,8.653089251597214,0.2678561324861876,15.6368115942029,240,23
mA1.25,0.4226287594559557,0.44898088440484685,-0.39328940748478725,6.646249487425219,8.746131426265725,0.251401663381291,15.28376811594203,240,23
vB0,0.4357415816171604,0.4681335734829705,-0.4814933286747055,6.476749902388341,8.63689673986465,0.26054493365154147,15.06123188405797,240,23
vB0.5,0.4431500719372712,0.4653667121547402,-0.47403871949272247,6.477335732724392,8.606070641789314,0.2725083711544592,14.910652173913043,240,23
mA0_vB0,0.4846113559699846,0.5018525522870408,-0.4569750248850327,6.263230952430943,8.39275505070258,0.34228332354431085,16.639130434782604,240,23
mA0_vB0.5,0.49167342516845897,0.5076689089815807,-0.4550527218310509,6.2439409035597215,8.35253592286334,0.331504704427002,16.24086956521739,240,23
mA0.5_vB0,0.46491088794286256,0.4878819213940352,-0.48697078687933854,6.3491534503262965,8.49238529475116,0.3054388271681585,14.980760869565218,240,23
mA0.5_vB0.5,0.4717220465079771,0.49174111335176934,-0.48219115638500704,6.343438069283073,8.457088026775097,0.2912963127831015,15.690688405797104,240,23
w0,0.48364765637977664,0.5032900350828624,-0.39782424495345065,6.298923336825217,8.393603448775673,0.32453796002405333,15.971630434782607,240,23
w0.25,0.4752431983353204,0.49565674528638565,-0.40132511075720373,6.355355540335753,8.43999946751224,0.3066072304297306,15.840036231884058,240,23
w0.5,0.4646824999221978,0.48555008204146577,-0.40482597656095715,6.412915387593432,8.498891546578939,0.27516881407373905,15.648297101449277,240,23
w0.75,0.4521542978430675,0.4745803213039172,-0.40832684236470984,6.481877048220624,8.570022075934872,0.2777545602633589,15.761268115942029,240,23
w1.0,0.4379187066646809,0.46332792652828964,-0.4118277081684628,6.559265491266957,8.653089251597214,0.2678561324861876,15.6368115942029,240,23
w1.25,0.4222849893803486,0.4484625049248677,-0.41532857397221573,6.644772888780526,8.747753035082747,0.2509176027679014,15.28376811594203,240,23
