player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,engine_projection,stack_delta,dk_avg_ppg,ffc_own_pct,chalk_score,estimated_ownership_pct,estimated_ownership_pct_heuristic,roster_role,slate_format,ownership_available,act,slate_id,week,sub,eng,tier,pw
00-0036971,Trevor Lawrence,QB,JAX,5800,43727243,17.252,17.252,1.0,1.0898339438793538,18.80178022019445,CLE,24.42,40.11,17.0,1.0,8.2507,statline_mc+recal_10_4b,4.38003555705645,35.728489473829335,32.94225,256.5448110636133,1.81325,6.35425,30.50125885876725,0.48025,0.0,0.0,0.0,0.0,23.351918328421256,-4.550138108226804,21.0,7.4,76.44609700644183,8.654142286582562,3.270389881424276,,classic,True,26.1,dk_classic_wk1_main_13Sep2026,1,main,23.351918328421256,5-6k,00-0036971_1
00-0036900,Ja'Marr Chase,WR,CIN,7800,43727631,15.2849,15.2849,1.0,1.2076538297041486,18.4588778777502,TB,27.06,50.44,16.0,1.0,8.9907,statline_mc+recal_10_4b,7.179339785431813,34.816505560966164,0.0,0.0,0.0,0.059,0.5237531245475578,0.00275,7.67275,5.0975,69.08206404590169,0.3995,15.064831717044925,3.394046160705276,21.0,53.7,96.88190918277124,34.036789898082155,16.070075896700978,,classic,True,3.2,dk_classic_wk1_main_13Sep2026,1,main,15.064831717044925,7.5k+,00-0036900_1
00-0036223,Jonathan Taylor,RB,IND,7300,43727329,17.5752,17.5752,1.0,1.0090559160979602,17.734355919257183,BAL,22.61,48.17,17.0,1.0,9.0288,statline_mc+recal_10_4b,5.033953849292408,35.73298590859506,0.0,0.0,0.0,12.7455,63.19293412966063,0.63025,3.088,2.45025,21.14567361469293,0.09575,15.834110774435358,1.9002451448218256,22.3,18.6,86.99803189848029,16.89742542066518,13.62622731423437,,classic,True,26.1,dk_classic_wk1_main_13Sep2026,1,main,15.834110774435358,6-7.5k,00-0036223_1
00-0036322,Justin Jefferson,WR,MIN,7300,43727635,16.5541,16.5541,1.0,1.0635029845472972,17.605315443916297,GB,23.83,46.06,17.0,1.0,8.2862,statline_mc+recal_10_4b,8.409917843201708,31.980788753865173,0.0,0.0,0.0,0.2505,1.729323898311171,0.011,7.4325,4.42925,57.30737358820502,0.22975,12.24816974865162,5.357145695264677,12.4,8.1,87.80356353416698,17.539269980707925,9.42097484862128,,classic,True,31.2,dk_classic_wk1_main_13Sep2026,1,main,12.24816974865162,6-7.5k,00-0036322_1
00-0034855,Baker Mayfield,QB,TB,5900,43727242,16.6183,16.6183,1.0,1.043866336909831,17.347264442722945,CIN,23.39,50.44,17.0,1.0,8.0552,statline_mc+recal_10_4b,5.432239321384908,31.91436519244329,34.6435,249.24382206325384,1.752,3.17425,18.576639264235148,0.114,0.0,0.0,0.0,0.0,19.46541680895367,-2.118152366230724,17.2,5.6,84.85577515157256,4.597590971999579,5.963159771989679,,classic,True,14.64,dk_classic_wk1_main_13Sep2026,1,main,19.46541680895367,5-6k,00-0034855_1
00-0039910,Jayden Daniels,QB,WAS,6500,43727238,19.6809,19.6809,1.0,0.8541941722297637,16.81128040414105,PHI,19.14,44.17,7.0,1.0,7.8476,statline_mc+recal_10_4b,7.37782199885511,27.943191806960407,30.68375,181.008335398048,1.12875,5.80425,23.250171016501533,0.20225,0.0,0.0,0.0,0.0,14.645350517572073,2.16592988656898,17.0,,64.62098964254136,1.0557711250126338,1.4053110716684083,,classic,True,17.66,dk_classic_wk1_main_13Sep2026,1,main,14.645350517572073,6-7.5k,00-0039910_1
00-0032764,Derrick Henry,RB,BAL,6700,43727341,14.666,14.666,1.0,1.1407107127582423,16.729672958547127,IND,25.56,48.17,17.0,1.0,9.5137,statline_mc+recal_10_4b,2.3407548945472243,38.74317543425285,0.0,0.0,0.0,15.26325,88.0253017289581,0.83825,0.943,0.6965,6.830908041569121,0.02675,16.144370977052724,0.5853019814944034,18.0,14.0,92.0839504744272,20.052587411654827,21.635871369370403,,classic,True,38.3,dk_classic_wk1_main_13Sep2026,1,main,16.144370977052724,6-7.5k,00-0032764_1
00-0037239,Chris Olave,WR,NO,6700,43727639,17.4076,17.4076,1.0,0.9568402848801532,16.656320076883247,DET,21.44,49.83,16.0,1.0,9.2038,statline_mc+recal_10_4b,5.175142122060251,33.06641887280629,0.0,0.0,0.0,0.0,0.0,0.0,9.048,5.742,67.0425072545881,0.4705,15.826750725458808,0.8295693514244391,17.4,7.0,83.35006947075912,17.387704248595007,7.249759756801492,,classic,True,31.2,dk_classic_wk1_main_13Sep2026,1,main,15.826750725458808,6-7.5k,00-0037239_1
00-0037744,Trey McBride,TE,ARI,6800,43728217,19.4686,19.4686,1.0,0.8466072856425609,16.482286306278677,LAC,18.97,47.17,17.0,1.0,7.3472,statline_mc+recal_10_4b,6.1633160081712095,30.52115555782143,0.0,0.0,0.0,0.0,0.0,0.0,8.83575,6.43825,54.8074120539943,0.466,15.126241205399433,1.3560451008792462,19.1,,76.66124484927347,3.865727058474589,2.9661218662792512,,classic,True,24.5,dk_classic_wk1_main_13Sep2026,1,main,15.126241205399433,6-7.5k,00-0037744_1
00-0039064,Zay Flowers,WR,BAL,6400,43727645,14.4302,14.4302,1.0,1.1407107127582423,16.460740524353454,IND,25.56,48.17,17.0,1.0,8.8735,statline_mc+recal_10_4b,5.152801394575375,33.319419268536805,0.0,0.0,0.0,0.178,1.249935273707493,0.01,6.4685,4.51075,70.23017601118339,0.329,14.303511128489088,2.1572293958643662,15.0,11.6,92.57641783503853,18.494197308622255,12.474601605465647,,classic,True,29.0,dk_classic_wk1_main_13Sep2026,1,main,14.303511128489088,6-7.5k,00-0039064_1
