player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,engine_projection,stack_delta,dk_avg_ppg,ffc_own_pct,chalk_score,estimated_ownership_pct,estimated_ownership_pct_heuristic,roster_role,slate_format,ownership_available,act,slate_id,week,sub,eng,tier,pw,attempts,passing_yards,passing_tds,carries,rushing_yards,rushing_tds
00-0036264,Jordan Love,QB,GB,5700,43727244,16.0406,16.0406,1.0,0.9916507056920244,15.906653841751645,MIN,22.22,46.06,15.0,1.0,7.9385,statline_mc+recal_10_4b,5.347455791364974,29.43138856188652,31.02425,237.04888826353795,1.603,2.5875,10.799088799285228,0.07425,0.0,0.0,0.0,0.0,17.415114410470043,-1.508460568718398,17.6,,72.44797587469999,0.702653247117555,2.4579535826142167,,classic,True,24.48,dk_classic_wk1_main_13Sep2026,1,main,17.415114410470043,5-6k,00-0036264_1,42.0,387.0,2.0,1.0,0.0,0.0
00-0035710,Daniel Jones,QB,IND,5400,43727247,16.0112,16.0112,1.0,1.0090559160979602,16.156225821802387,BAL,22.61,48.17,13.0,1.0,8.0612,statline_mc+recal_10_4b,4.068656027044014,30.713092499215676,34.96325,284.550684625679,1.69525,1.7875,7.240200428611124,0.11375,0.0,0.0,0.0,0.0,19.78354742788828,-3.627321606085889,18.7,,78.46453833522799,2.39870467179808,3.777579982073462,,classic,True,10.04,dk_classic_wk1_main_13Sep2026,1,main,19.78354742788828,5-6k,00-0035710_1,31.0,166.0,1.0,1.0,4.0,0.0
00-0040743,Tyler Shough,QB,NO,5600,43727245,16.9812,16.9812,1.0,0.9568402848801532,16.248288275418815,DET,21.44,49.83,11.0,1.0,8.0371,statline_mc+recal_10_4b,4.458943608692402,30.259944432218337,35.63725,248.67429385894604,1.14975,6.6025,26.137941196607454,0.3075,0.0,0.0,0.0,0.0,18.788265874018588,-2.539977598599773,15.6,,75.21820133889099,0.6870285856687354,2.995773236979195,,classic,True,29.2,dk_classic_wk1_main_13Sep2026,1,main,18.788265874018588,5-6k,00-0040743_1,56.0,410.0,3.0,4.0,8.0,0.0
00-0039910,Jayden Daniels,QB,WAS,6500,43727238,19.6809,19.6809,1.0,0.8541941722297637,16.81128040414105,PHI,19.14,44.17,7.0,1.0,7.8476,statline_mc+recal_10_4b,7.37782199885511,27.943191806960407,30.68375,181.008335398048,1.12875,5.80425,23.250171016501533,0.20225,0.0,0.0,0.0,0.0,14.645350517572073,2.16592988656898,17.0,,64.62098964254136,1.0557711250126338,1.4053110716684083,,classic,True,17.66,dk_classic_wk1_main_13Sep2026,1,main,14.645350517572073,6-7.5k,00-0039910_1,34.0,164.0,2.0,5.0,31.0,0.0
00-0034855,Baker Mayfield,QB,TB,5900,43727242,16.6183,16.6183,1.0,1.043866336909831,17.347264442722945,CIN,23.39,50.44,17.0,1.0,8.0552,statline_mc+recal_10_4b,5.432239321384908,31.91436519244329,34.6435,249.24382206325384,1.752,3.17425,18.576639264235148,0.114,0.0,0.0,0.0,0.0,19.46541680895367,-2.118152366230724,17.2,5.6,84.85577515157256,4.597590971999579,5.963159771989679,,classic,True,14.64,dk_classic_wk1_main_13Sep2026,1,main,19.46541680895367,5-6k,00-0034855_1,28.0,216.0,0.0,5.0,30.0,1.0
00-0035228,Kyler Murray,QB,MIN,5500,43727246,13.8448,13.8448,1.0,1.0635029845472972,14.724003375672275,GB,23.83,46.06,5.0,1.0,7.852,statline_mc+recal_10_4b,4.887366646194679,26.62404898577492,31.57875,207.7413947889278,1.35675,3.4455,17.469877535505038,0.14575,0.0,0.0,0.0,0.0,15.947393545107618,-1.2233901694353424,16.4,,74.20637552103068,1.3071049522653009,2.786897866667413,,classic,True,0.62,dk_classic_wk1_main_13Sep2026,1,main,15.947393545107618,5-6k,00-0035228_1,5.0,18.0,0.0,2.0,9.0,0.0
00-0038128,Malik Willis,QB,MIA,5300,43727248,17.7165,17.7165,1.0,0.8341112371459919,14.777506342511792,LV,18.69,40.39,4.0,1.0,7.9036,statline_mc+recal_10_4b,4.177030323080082,27.81272143251193,30.74375,241.6219345449247,1.39175,3.4945,13.360451255897098,0.13375,0.0,0.0,0.0,0.0,17.2714225073867,-2.493916164874907,13.0,,57.62086333207022,0.8950116136523344,0.8523565612544717,,classic,True,17.7,dk_classic_wk1_main_13Sep2026,1,main,17.2714225073867,5-6k,00-0038128_1,27.0,220.0,0.0,6.0,39.0,1.0
00-0023459,Aaron Rodgers,QB,PIT,5300,43727249,14.2557,14.2557,1.0,1.0536846607285644,15.020967329704696,ATL,23.61,40.78,16.0,1.0,7.9714,statline_mc+recal_10_4b,3.969099281204584,28.635960973664364,35.2215,246.47176337693648,1.735,1.45175,5.821383849528631,0.06525,0.0,0.0,0.0,0.0,17.82125892003032,-2.8002915903256245,14.1,,71.09830901856763,0.6222142313862876,2.232058717548636,,classic,True,12.54,dk_classic_wk1_main_13Sep2026,1,main,17.82125892003032,5-6k,00-0023459_1,40.0,221.0,1.0,3.0,-3.0,0.0
00-0036971,Trevor Lawrence,QB,JAX,5800,43727243,17.252,17.252,1.0,1.0898339438793538,18.80178022019445,CLE,24.42,40.11,17.0,1.0,8.2507,statline_mc+recal_10_4b,4.38003555705645,35.728489473829335,32.94225,256.5448110636133,1.81325,6.35425,30.50125885876725,0.48025,0.0,0.0,0.0,0.0,23.351918328421256,-4.550138108226804,21.0,7.4,76.44609700644183,8.654142286582562,3.270389881424276,,classic,True,26.1,dk_classic_wk1_main_13Sep2026,1,main,23.351918328421256,5-6k,00-0036971_1,23.0,245.0,4.0,2.0,3.0,0.0
00-0039918,Caleb Williams,QB,CHI,6300,43727239,16.9038,16.9038,1.0,1.1130408910872678,18.814629635417056,CAR,24.94,46.94,17.0,1.0,8.0842,statline_mc+recal_10_4b,6.483276228563801,33.77093496537972,35.01275,269.9326097834363,1.813,2.55725,13.63640881972286,0.11625,0.0,0.0,0.0,0.0,20.372945273309732,-1.5583156378926797,19.8,,83.86545566502463,1.6043837486304946,5.55591650840341,,classic,True,37.26,dk_classic_wk1_main_13Sep2026,1,main,20.372945273309732,6-7.5k,00-0039918_1,29.0,269.0,2.0,10.0,65.0,2.0
