baseline,add,slate,corr,mae,chalk_bias,chalk_hit,chalk_n,miss12,cheap_miss12,eta2,eta2_perm,eta2_p
ffc,sexp_qb2,POOLED,0.7599,6.0916,-4.0303,57,62,43,6,0.3038,0.2455,0.0740
ffc,sexp_qb2,wk1_afternoon_,0.7320,10.5262,-7.5024,12,14,11,1,,,
ffc,sexp_qb2,wk1_early_13Se,0.6765,6.4457,3.6558,7,7,11,2,,,
ffc,sexp_qb2,wk1_main_13Sep,0.6294,5.6441,-7.6425,5,6,5,1,,,
ffc,sexp_qb2,wk2_afternoon_,0.8711,4.9538,-1.2288,17,17,3,1,,,
ffc,sexp_qb2,wk2_early_20Se,0.7379,5.8720,-5.9820,10,11,9,1,,,
ffc,sexp_qb2,wk2_main_20Sep,0.7191,4.7346,-5.4128,6,7,4,0,,,
ffc,sexp_qb2,week1,0.7333,7.0146,-4.6407,24,27,27,4,,,
ffc,sexp_qb2,week2,0.8004,5.1845,-3.5595,33,35,16,2,,,
ffc,sexp_qb1bb,POOLED,0.7597,6.1187,-4.0695,57,62,41,6,0.2998,0.2476,0.0820
ffc,sexp_qb1bb,wk1_afternoon_,0.7304,10.6906,-7.4815,12,14,9,1,,,
ffc,sexp_qb1bb,wk1_early_13Se,0.6698,6.5394,3.3494,7,7,11,2,,,
ffc,sexp_qb1bb,wk1_main_13Sep,0.6299,5.6811,-7.6344,5,6,5,1,,,
ffc,sexp_qb1bb,wk2_afternoon_,0.8687,5.0010,-1.2659,17,17,3,1,,,
ffc,sexp_qb1bb,wk2_early_20Se,0.7358,5.8395,-5.9766,10,11,9,1,,,
ffc,sexp_qb1bb,wk2_main_20Sep,0.7201,4.7060,-5.4208,6,7,4,0,,,
ffc,sexp_qb1bb,week1,0.7335,7.0885,-4.7074,24,27,25,4,,,
ffc,sexp_qb1bb,week2,0.7990,5.1768,-3.5774,33,35,16,2,,,
ffc,qb_share,POOLED,0.7680,6.0205,-3.8796,57,62,40,6,0.2844,0.2498,0.1750
ffc,qb_share,wk1_afternoon_,0.7449,10.3893,-7.0881,12,14,9,1,,,
ffc,qb_share,wk1_early_13Se,0.6897,6.3824,3.7087,7,7,10,2,,,
ffc,qb_share,wk1_main_13Sep,0.6404,5.4409,-7.2946,5,6,5,1,,,
ffc,qb_share,wk2_afternoon_,0.8690,4.9976,-1.1948,17,17,3,1,,,
ffc,qb_share,wk2_early_20Se,0.7372,5.8598,-5.9203,10,11,9,1,,,
ffc,qb_share,wk2_main_20Sep,0.7153,4.7579,-5.4374,6,7,4,0,,,
ffc,qb_share,week1,0.7476,6.8488,-4.3348,24,27,24,4,,,
