dir,slate_id,player_name,position,salary,sal_chg,dk_avg,final_projection,prev_fpts,vacated,imp,rank_gap,own,lowo,err
UNDER,wk1_afternoon,Ladd McConkey,WR,5900,0.0,11.4,11.4,,0.0,28.0,-3.5,50.9,15.8,-35.1
UNDER,wk1_afternoon,Michael Mayer,TE,2900,0.0,5.7,7.5,,15.3,21.7,5.0,36.2,4.8,-31.4
UNDER,wk1_afternoon,Justin Herbert,QB,6100,0.0,19.1,19.6,,0.0,28.0,0.0,32.9,2.2,-30.7
UNDER,wk1_main_13Se,Michael Mayer,TE,2900,0.0,5.7,7.2,,0.1,21.7,11.5,33.0,2.3,-30.7
UNDER,wk1_afternoon,De'Von Achane,RB,7000,0.0,20.9,14.7,,0.0,18.7,-3.0,58.3,27.7,-30.6
UNDER,wk2_afternoon,Michael Mayer,TE,3600,0.7,9.2,9.5,9.2,0.0,18.4,2.0,35.4,8.5,-26.9
UNDER,wk2_afternoon,Ashton Jeanty,RB,6800,0.2,35.7,16.4,35.7,0.0,18.4,0.0,50.7,26.1,-24.6
UNDER,wk2_main_20Se,Aaron Jones Sr.,RB,5100,-0.2,10.0,10.4,10.0,0.0,21.5,8.0,24.8,1.5,-23.3
UNDER,wk2_main_20Se,Bijan Robinson,RB,8200,0.5,23.2,23.5,31.3,0.0,20.5,0.0,48.1,27.2,-20.9
UNDER,wk2_main_20Se,Dalton Schultz,TE,3200,-0.2,9.9,7.4,7.5,0.0,24.0,6.5,23.6,3.0,-20.5
UNDER,wk1_early_13S,Juwan Johnson,TE,3700,0.0,10.7,8.6,,0.5,21.4,0.5,25.3,5.0,-20.3
UNDER,wk2_early_20S,Aaron Jones Sr.,RB,5100,-0.2,10.0,10.3,10.0,11.9,21.8,5.5,24.3,5.1,-19.2
UNDER,wk2_early_20S,Emeka Egbuka,WR,6400,0.2,11.3,12.7,11.3,0.0,25.0,-4.0,26.0,6.9,-19.1
UNDER,wk1_afternoon,Quentin Johnston,WR,4700,0.0,12.0,9.3,,0.0,28.0,2.5,28.5,9.4,-19.1
UNDER,wk1_afternoon,Saquon Barkley,RB,6900,0.0,15.4,16.8,,0.0,25.0,0.0,67.5,48.4,-19.0
UNDER,wk2_early_20S,Jalen Coker,WR,5100,0.5,36.8,11.7,36.8,0.0,23.1,3.0,26.9,10.0,-16.9
UNDER,wk1_main_13Se,De'Von Achane,RB,7000,0.0,20.9,14.3,,0.0,18.7,-6.0,17.8,1.0,-16.8
UNDER,wk2_early_20S,Dalton Schultz,TE,3200,-0.2,7.5,7.3,7.5,0.0,24.2,3.0,20.5,5.2,-15.3
UNDER,wk2_afternoon,Terry McLaurin,WR,5200,-0.5,3.4,10.8,3.4,0.0,23.2,0.0,24.8,9.9,-14.9
UNDER,wk2_early_20S,Baker Mayfield,QB,5600,-0.3,14.6,15.2,11.6,0.0,25.0,-1.0,18.7,4.2,-14.6
UNDER,wk1_early_13S,Devaughn Vele,WR,3500,0.0,5.1,6.9,,1.5,21.4,16.0,14.8,0.3,-14.5
UNDER,wk2_early_20S,Derrick Henry,RB,7200,0.5,38.3,19.8,38.3,0.0,27.5,0.0,56.6,42.5,-14.1
UNDER,wk1_early_13S,Tyler Shough,QB,5600,0.0,15.6,18.9,,0.0,21.4,3.0,14.8,1.0,-13.8
