dir,slate_id,player_name,position,salary,sal_chg,dk_avg,final_projection,prev_fpts,vacated,imp,rank_gap,own,lowo,err
UNDER,wk2_early_20S,Carson Wentz,QB,4600,0.6,19.2,3.1,19.2,0.0,21.8,-9.0,14.3,0.8,-13.5
UNDER,wk2_early_20S,Bijan Robinson,RB,8200,0.5,31.3,23.6,31.3,0.0,20.7,0.0,58.8,45.5,-13.3
UNDER,wk1_main_13Se,Juwan Johnson,TE,3700,0.0,10.7,8.4,,0.5,21.4,0.5,15.4,2.6,-12.8
UNDER,wk1_main_13Se,Ladd McConkey,WR,5900,0.0,11.4,11.0,,0.0,28.2,-11.5,16.1,3.4,-12.7
UNDER,wk2_early_20S,Matthew Golden,WR,4700,0.0,15.5,11.0,15.5,0.0,24.0,2.0,22.4,9.8,-12.7
UNDER,wk1_early_13S,Tetairoa McMillan,WR,6100,0.0,12.9,13.1,,0.0,22.1,-2.0,16.8,4.2,-12.7
UNDER,wk1_early_13S,Garrett Wilson,WR,5800,0.0,14.2,13.2,,0.0,18.8,1.0,19.4,6.8,-12.6
UNDER,wk1_early_13S,Sam LaPorta,TE,4400,0.0,11.9,10.0,,0.0,28.4,0.0,15.9,3.5,-12.4
UNDER,wk1_afternoon,Eagles,DST,3200,0.0,7.8,8.0,,0.0,25.0,-3.0,22.2,10.2,-12.1
UNDER,wk1_afternoon,DeVonta Smith,WR,6600,0.0,12.4,14.0,,0.0,25.0,0.0,48.9,36.9,-12.0
UNDER,wk1_main_13Se,Chris Olave,WR,6700,0.0,17.4,17.0,,1.5,21.4,1.0,27.8,15.9,-11.8
UNDER,wk2_early_20S,Rashod Bateman,WR,4400,0.5,0.0,3.6,0.0,2.1,27.5,-28.5,12.7,1.1,-11.6
UNDER,wk2_afternoon,Caleb Douglas,WR,3700,0.7,14.4,9.1,14.4,0.0,15.9,14.0,17.2,5.8,-11.3
UNDER,wk1_early_13S,Steelers,DST,3300,0.0,7.8,9.0,,0.0,23.4,-1.0,17.8,6.4,-11.3
UNDER,wk2_afternoon,Jaguars,DST,2400,-1.0,13.0,6.8,,0.0,21.4,3.0,21.7,10.5,-11.2
UNDER,wk2_main_20Se,Matthew Golden,WR,4700,0.0,5.9,11.1,15.5,2.2,23.8,7.0,17.5,6.3,-11.2
UNDER,wk2_main_20Se,Derrick Henry,RB,7200,0.5,18.0,19.9,38.3,0.0,27.1,0.0,38.2,27.1,-11.1
UNDER,wk2_main_20Se,Terry McLaurin,WR,5200,-0.5,11.4,10.9,3.4,9.3,23.4,-3.5,15.0,4.0,-11.0
UNDER,wk1_main_13Se,Garrett Wilson,WR,5800,0.0,14.2,13.1,,0.0,19.2,3.5,16.8,5.9,-10.9
UNDER,wk1_main_13Se,Quentin Johnston,WR,4700,0.0,12.0,9.1,,0.0,28.2,3.0,12.9,2.2,-10.7
UNDER,wk2_main_20Se,George Pickens,WR,6300,0.0,18.1,13.3,5.8,0.0,27.5,-1.0,18.9,8.2,-10.7
UNDER,wk2_early_20S,Buccaneers,DST,3600,1.0,9.0,10.1,,0.0,25.0,1.0,27.0,16.3,-10.7
UNDER,wk1_main_13Se,Devaughn Vele,WR,3500,0.0,5.1,6.7,,1.5,21.4,23.0,10.9,0.3,-10.6
UNDER,wk1_main_13Se,Justin Herbert,QB,6100,0.0,19.1,19.3,,0.0,28.2,-1.0,12.0,1.8,-10.3
OVER,wk1_afternoon,Ashton Jeanty,RB,6600,0.0,14.8,16.0,,0.0,21.7,1.0,37.1,47.1,10.1
OVER,wk1_main_13Se,Zay Flowers,WR,6400,0.0,15.0,16.9,,0.0,25.6,3.0,9.8,20.0,10.2
OVER,wk2_early_20S,Bears,DST,3000,0.2,6.0,8.8,,0.0,26.2,0.5,2.5,12.8,10.3
OVER,wk1_main_13Se,Trey McBride,TE,6800,0.0,19.1,16.1,,1.0,19.0,0.0,3.6,14.0,10.4
OVER,wk2_early_20S,Justin Jefferson,WR,7800,0.5,31.2,19.7,31.2,0.0,21.8,0.0,32.0,42.4,10.4
OVER,wk2_main_20Se,Bears,DST,3000,0.2,6.4,8.8,,0.0,26.0,2.5,1.6,12.1,10.5
OVER,wk1_early_13S,Jameson Williams,WR,6000,0.0,13.6,13.2,,0.0,28.4,1.0,9.3,20.3,11.0
OVER,wk1_main_13Se,Derrick Henry,RB,6700,0.0,18.0,16.2,,0.0,25.6,2.0,6.9,18.1,11.3
OVER,wk1_main_13Se,Amon-Ra St. Brown,WR,7500,0.0,19.9,20.1,,0.0,28.4,1.0,18.6,30.1,11.5
OVER,wk2_afternoon,Kaelon Black,RB,4500,0.0,8.0,9.9,8.0,0.0,29.2,8.5,2.6,14.2,11.5
OVER,wk2_afternoon,Trey McBride,TE,6900,0.1,24.5,16.5,24.5,0.0,18.6,0.0,23.6,36.0,12.4
OVER,wk1_early_13S,Amon-Ra St. Brown,WR,7500,0.0,19.9,20.4,,0.0,28.4,1.0,21.8,34.7,12.9
OVER,wk1_afternoon,Michael Wilson,WR,5300,0.0,13.5,12.4,,0.0,19.0,3.0,16.0,29.9,13.9
OVER,wk2_main_20Se,Jaxon Smith-Njigba,WR,8100,0.0,22.0,20.5,29.2,9.2,22.4,0.0,9.2,23.5,14.3
OVER,wk1_afternoon,Justin Jefferson,WR,7300,0.0,12.4,17.9,,0.0,23.6,0.0,60.5,75.0,14.5
OVER,wk1_main_13Se,Kyler Murray,QB,5500,0.0,16.4,32.9,,0.0,23.8,11.0,7.3,22.3,15.0
OVER,wk2_main_20Se,Lamar Jackson,QB,7300,0.5,17.3,23.8,28.0,0.0,27.1,0.0,5.6,20.6,15.0
OVER,wk2_early_20S,Chase Brown,RB,6900,-0.2,18.8,15.5,18.8,0.0,21.8,0.0,2.9,18.1,15.2
OVER,wk2_afternoon,Christian McCaffrey,RB,8000,0.0,13.8,20.7,13.8,0.0,29.2,0.0,52.8,68.1,15.3
OVER,wk1_afternoon,Raiders,DST,2900,0.0,4.4,8.7,,0.0,21.7,3.0,17.5,33.4,15.9
OVER,wk1_early_13S,Jaguars,DST,3400,0.0,8.2,11.1,,0.0,24.5,0.0,23.2,39.1,15.9
OVER,wk1_afternoon,Stefon Diggs,WR,5200,0.0,12.2,11.8,,4.4,19.1,2.0,9.7,25.8,16.1
OVER,wk2_afternoon,Jaxon Smith-Njigba,WR,8100,0.0,29.2,20.5,29.2,0.0,22.5,0.0,35.2,51.8,16.5
OVER,wk1_early_13S,Zay Flowers,WR,6400,0.0,15.0,17.7,,0.0,25.6,3.0,15.3,32.2,16.9
OVER,wk1_early_13S,Travis Etienne Jr.,RB,5900,0.0,15.7,17.8,,2.9,21.4,6.0,11.2,28.6,17.4
OVER,wk1_afternoon,Terry McLaurin,WR,5700,0.0,11.4,13.0,,4.4,19.1,3.0,15.4,34.4,19.0
OVER,wk2_early_20S,Chris Olave,WR,7200,0.5,31.2,17.1,31.2,0.0,19.0,1.0,5.4,24.7,19.3
OVER,wk1_afternoon,Omarion Hampton,RB,6800,0.0,13.9,17.5,,0.7,28.0,2.0,55.5,75.0,19.5
OVER,wk1_main_13Se,Kirk Cousins,QB,5000,0.0,11.3,33.9,,0.0,21.7,20.5,1.5,22.1,20.6
OVER,wk2_early_20S,Lamar Jackson,QB,7300,0.5,29.0,23.7,28.0,0.0,27.5,0.0,11.4,32.9,21.5
OVER,wk1_afternoon,Aaron Jones Sr.,RB,5300,0.0,10.0,12.1,,0.0,23.6,2.5,4.0,28.5,24.5
OVER,wk1_afternoon,Trey McBride,TE,6800,0.0,19.1,16.5,,1.0,19.0,0.0,19.2,48.2,29.0
OVER,wk1_early_13S,Geno Smith,QB,4600,0.0,13.0,27.8,,0.0,18.8,16.0,3.1,54.7,51.6
OVER,wk1_afternoon,Kyler Murray,QB,5500,0.0,16.4,33.0,,0.0,23.6,4.0,19.8,72.5,52.7
