week,cut,grp,npw,nchg,bias_b,bias_f,d_bias,ci_bias,mae_b,mae_f,d_mae,ci_mae,rmse_b,rmse_f,d_rmse,ci_rmse,sp_b,sp_f,d_sp,ci_sp,top_b,top_f,d_top,ci_top
1,base,RB,32,32,-2.2041621171238965,-1.3401992955778206,0.863962821546076,"[+0.665,+1.075]",8.38598589157587,8.482238360177252,0.09625246860138148,"[-0.260,+0.450]",10.333620961567,10.121873973767284,-0.21174698779971557,"[-0.559,+0.161]",0.36168728623784624,0.34078852643087093,-0.02089875980697531,"[-0.111,+0.039]",24.986666666666668,24.353333333333335,-0.6333333333333329,"[-2.387,+2.440]"
1,base,WR,39,39,-0.5169854296809692,0.44074165948857075,0.95772708916954,"[+0.782,+1.167]",6.5586479564813285,6.755948446944424,0.19730049046309528,"[-0.163,+0.535]",8.83272739292281,8.760895060561584,-0.07183233236122533,"[-0.409,+0.312]",0.39403067149247767,0.40226740734609884,0.008236735853621169,"[-0.036,+0.091]",17.566666666666666,17.729166666666668,0.16250000000000142,"[-1.311,+0.908]"
1,base,TE,17,17,0.47078569868774084,1.3024080838722654,0.8316223851845246,"[+0.631,+1.076]",6.171892281537832,6.447233557689757,0.2753412761519254,"[-0.150,+0.701]",7.7954278913376465,8.024845012958902,0.22941712162125594,"[-0.296,+0.739]",-0.4225700716341805,-0.3867780088983172,0.03579206273586327,"[-0.149,+0.295]",5.8,5.8,0.0,"[-1.717,+0.000]"
1,base,ALL,88,88,-0.9396848025889871,-0.04041494673417632,0.8992698558548108,"[+0.784,+1.026]",7.1484203138561675,7.324052129968529,0.17563181611236178,"[-0.042,+0.394]",9.227437345258096,9.149404472128596,-0.07803287312949969,"[-0.296,+0.166]",0.17775171624032632,0.18195147294178435,0.0041997567014580295,"[-0.064,+0.081]",17.407500000000002,17.230937499999996,-0.1765625000000064,"[-1.101,+0.921]"
1,union,RB,34,34,-2.2051425092672887,-1.3711391586500206,0.8340033506172682,"[+0.637,+1.045]",8.02332959110444,8.09380028963484,0.0704706985304,"[-0.253,+0.429]",10.049588644010047,9.840641408300502,-0.20894723570954454,"[-0.537,+0.175]",0.3552065313877715,0.3599827143272912,0.004776182939519702,"[-0.086,+0.117]",24.986666666666668,24.353333333333335,-0.6333333333333329,"[-2.200,+2.440]"
1,union,WR,45,45,-0.3091570448534464,0.6731280751574289,0.9822851200108753,"[+0.807,+1.189]",6.224776696758771,6.489969050633713,0.26519235387494167,"[-0.086,+0.598]",8.41809929257653,8.383840012454982,-0.034259280121547775,"[-0.365,+0.315]",0.3822552911906083,0.37282192982870516,-0.009433361361903148,"[-0.067,+0.043]",17.566666666666666,17.729166666666668,0.16250000000000142,"[-1.292,+0.908]"
1,union,TE,19,19,0.7240447440893107,1.5703149391117603,0.8462701950224496,"[+0.654,+1.063]",5.825034844534129,6.173579836737937,0.3485449922038075,"[-0.049,+0.761]",7.437335698676761,7.69948116679037,0.2621454681136095,"[-0.212,+0.758]",-0.11669434956706722,-0.10637675245411649,0.01031759711295073,"[-0.153,+0.216]",9.222222222222221,9.222222222222221,0.0,"[-1.717,+0.000]"
1,union,ALL,98,98,-0.7666332877122035,0.13783689623578615,0.9044701839479896,"[+0.793,+1.036]",6.771263464263716,6.9850595308583925,0.21379606659467676,"[+0.007,+0.419]",8.848882654679757,8.795785510151005,-0.05309714452875269,"[-0.264,+0.164]",0.20692249100377083,0.20880929723395994,0.0018868062301891086,"[-0.067,+0.074]",17.258518518518517,17.101574074074072,-0.156944444444445,"[-1.133,+0.874]"
2,base,RB,35,30,3.496946012083886,3.6597414831795105,0.16279547109562476,"[+0.126,+0.197]",4.582283370997921,4.6605156649823085,0.0782322939843878,"[+0.022,+0.129]",5.632050135643698,5.7246226910347024,0.09257255539100484,"[+0.035,+0.141]",0.5256157086916011,0.5305131926015582,0.004897483909957034,"[-0.032,+0.057]",13.373333333333335,12.826666666666668,-0.5466666666666669,"[-1.093,+0.000]"
2,base,WR,53,46,1.0059765765200521,1.1454038067744565,0.1394272302544044,"[+0.112,+0.169]",6.791548752866644,6.840745387633956,0.04919663476731184,"[+0.004,+0.097]",8.634930798277642,8.658462037472868,0.023531239195225595,"[-0.019,+0.073]",0.4566068855895123,0.44605809488239934,-0.010548790707112954,"[-0.041,+0.016]",18.537499999999998,18.537499999999998,0.0,"[-0.521,+1.738]"
2,base,TE,13,12,3.1145158118762,3.39068097521599,0.2761651633397899,"[+0.109,+0.510]",5.054505032788071,5.25994147598252,0.20543644319444887,"[+0.006,+0.465]",6.27423640698793,6.627917253077816,0.3536808460898859,"[+0.073,+0.679]",-0.2838827838827839,-0.336996336996337,-0.05311355311355315,"[-0.236,+0.000]",4.283333333333333,4.283333333333333,0.0,"[-0.900,+0.000]"
2,base,ALL,101,88,2.1405799458701917,2.30570501334789,0.16512506747769828,"[+0.133,+0.204]",5.802381854585191,5.881750425809438,0.07936857122424712,"[+0.039,+0.127]",7.4287011925113084,7.506717482238892,0.07801628972758312,"[+0.030,+0.150]",0.29736277688472157,0.28196514855739985,-0.015397628327321722,"[-0.061,+0.014]",13.037395833333333,12.832395833333333,-0.20500000000000007,"[-0.489,+0.580]"
2,union,RB,36,31,3.2340644051008707,3.4347619080697784,0.20069750296890776,"[+0.138,+0.293]",4.620741939561997,4.654376985976435,0.03363504641443793,"[-0.083,+0.116]",5.641616716710782,5.692844045726258,0.05122732901547611,"[-0.060,+0.130]",0.4598610318357243,0.48106986078727704,0.02120882895155274,"[-0.024,+0.090]",13.373333333333335,12.826666666666668,-0.5466666666666669,"[-1.093,+0.000]"
2,union,WR,53,46,1.0059765765200521,1.1454038067744565,0.1394272302544044,"[+0.113,+0.168]",6.791548752866644,6.840745387633956,0.04919663476731184,"[+0.002,+0.096]",8.634930798277642,8.658462037472868,0.023531239195225595,"[-0.022,+0.074]",0.4566068855895123,0.44605809488239934,-0.010548790707112954,"[-0.043,+0.016]",18.537499999999998,18.537499999999998,0.0,"[-0.417,+1.738]"
2,union,TE,15,14,3.290027420415131,3.543973344187025,0.25394592377189396,"[+0.110,+0.475]",4.971351411872087,5.163999111518018,0.19264769964593143,"[+0.028,+0.431]",6.1987720579184735,6.517805294494775,0.3190332365763018,"[+0.072,+0.627]",-0.20474274644656387,-0.2577237265015896,-0.05298098005502572,"[-0.198,+0.000]",4.283333333333333,4.283333333333333,0.0,"[-0.022,+0.000]"
2,union,ALL,104,91,2.106668158129049,2.2838214481958032,0.1771532900667543,"[+0.139,+0.225]",5.77758716254082,5.842087151081939,0.06449998854111882,"[+0.013,+0.118]",7.386292801295936,7.453243334395392,0.06695053309945553,"[+0.013,+0.135]",0.29248978242282275,0.28324205175073125,-0.009247730672091503,"[-0.055,+0.025]",13.037395833333333,12.832395833333333,-0.20500000000000007,"[-0.547,+0.623]"
